Comment,Designator,Footprint,LCSC Part #,Qty
PT204-6B,"Q1,Q2,Q3,Q4,Q5,Q6",LED_D3.0mm,C5133,6
RAIL-IDC,J1,IDC-Header_2x05_P2.54mm_Vertical,C5665,1
