Comment,Designator,Footprint,LCSC Part #,Qty
150,"R1,R2,R3,R4,R5,R6",R_0603_1608Metric,C22843,6
IR333C-A,"D1,D2,D3,D4,D5,D6",LED_D5.0mm,C5130,6
RAIL-IDC,J1,IDC-Header_2x05_P2.54mm_Vertical,C5665,1
