t_s,i_A,v_bank_V
-3.4987500e-03,2.9072,49.810
-3.4962500e-03,2.3648,49.782
-3.4937500e-03,0.0176,49.791
-3.4912500e-03,-4.0272,49.781
-3.4887500e-03,2.8720,49.790
-3.4862500e-03,4.4736,49.803
-3.4837500e-03,-2.8224,49.790
-3.4812500e-03,-2.3312,49.772
-3.4787500e-03,9.9760,49.809
-3.4762500e-03,3.0464,49.794
-3.4737500e-03,-4.7328,49.769
-3.4712500e-03,1.7712,49.786
-3.4687500e-03,1.0288,49.799
-3.4662500e-03,0.9024,49.785
-3.4637500e-03,-1.3088,49.764
-3.4612500e-03,1.3472,49.784
-3.4587500e-03,-5.4320,49.776
-3.4562500e-03,8.9872,49.806
-3.4537500e-03,8.7472,49.820
-3.4512500e-03,-6.5648,49.795
-3.4487500e-03,-3.8224,49.769
-3.4462500e-03,11.0880,49.819
-3.4437500e-03,-2.7536,49.793
-3.4412500e-03,-1.3680,49.782
-3.4387500e-03,-1.5904,49.798
-3.4362500e-03,6.8336,49.818
-3.4337500e-03,-4.0880,49.774
-3.4312500e-03,5.1232,49.814
-3.4287500e-03,0.3664,49.812
-3.4262500e-03,-0.2992,49.777
-3.4237500e-03,-1.2384,49.787
-3.4212500e-03,5.6640,49.799
-3.4187500e-03,-8.5232,49.753
-3.4162500e-03,5.2672,49.798
-3.4137500e-03,2.7984,49.790
-3.4112500e-03,-0.2608,49.788
-3.4087500e-03,-5.0096,49.783
-3.4062500e-03,17.3072,49.828
-3.4037500e-03,-5.5600,49.799
-3.4012500e-03,-6.1296,49.767
-3.3987500e-03,5.6336,49.799
-3.3962500e-03,6.9728,49.823
-3.3937500e-03,-5.9808,49.763
-3.3912500e-03,1.6800,49.799
-3.3887500e-03,0.0976,49.800
-3.3862500e-03,2.1264,49.799
-3.3837500e-03,1.4544,49.787
-3.3812500e-03,2.9232,49.805
-3.3787500e-03,-2.8032,49.780
-3.3762500e-03,0.8512,49.779
-3.3737500e-03,3.0352,49.788
-3.3712500e-03,0.7280,49.794
-3.3687500e-03,-2.9968,49.772
-3.3662500e-03,2.2544,49.810
-3.3637500e-03,2.8304,49.801
-3.3612500e-03,-1.2688,49.779
-3.3587500e-03,1.0496,49.786
-3.3562500e-03,2.7472,49.828
-3.3537500e-03,-5.0048,49.773
-3.3512500e-03,9.6768,49.806
-3.3487500e-03,6.3024,49.836
-3.3462500e-03,-7.5648,49.781
-3.3437500e-03,2.8672,49.782
-3.3412500e-03,2.9648,49.803
-3.3387500e-03,0.7776,49.801
-3.3362500e-03,-6.2144,49.780
-3.3337500e-03,6.9696,49.793
-3.3312500e-03,-0.8000,49.800
-3.3287500e-03,1.0704,49.783
-3.3262500e-03,0.9520,49.796
-3.3237500e-03,3.3808,49.835
-3.3212500e-03,-2.7296,49.790
-3.3187500e-03,6.0880,49.806
-3.3162500e-03,-6.1984,49.796
-3.3137500e-03,1.6688,49.777
-3.3112500e-03,2.0368,49.800
-3.3087500e-03,2.7744,49.803
-3.3062500e-03,-10.0336,49.757
-3.3037500e-03,12.8912,49.797
-3.3012500e-03,11.2784,49.827
-3.2987500e-03,-7.2400,49.781
-3.2962500e-03,-4.3264,49.772
-3.2937500e-03,11.8864,49.829
-3.2912500e-03,-3.3840,49.789
-3.2887500e-03,-0.3312,49.786
-3.2862500e-03,-1.3440,49.787
-3.2837500e-03,3.1152,49.793
