t_s,i_A,v_bank_V
-3.4987500e-03,3.1536,49.152
-3.4962500e-03,0.7280,49.150
-3.4937500e-03,2.3616,49.141
-3.4912500e-03,1.4720,49.155
-3.4887500e-03,3.1584,49.146
-3.4862500e-03,-4.4160,49.127
-3.4837500e-03,7.1088,49.157
-3.4812500e-03,9.5664,49.181
-3.4787500e-03,-3.2784,49.143
-3.4762500e-03,-4.7632,49.138
-3.4737500e-03,10.2768,49.173
-3.4712500e-03,-0.6880,49.134
-3.4687500e-03,-0.5536,49.148
-3.4662500e-03,0.9264,49.123
-3.4637500e-03,5.9024,49.148
-3.4612500e-03,-2.1136,49.137
-3.4587500e-03,8.8944,49.172
-3.4562500e-03,2.2592,49.158
-3.4537500e-03,-4.4032,49.127
-3.4512500e-03,2.0736,49.143
-3.4487500e-03,8.1552,49.178
-3.4462500e-03,-5.4304,49.138
-3.4437500e-03,3.0720,49.138
-3.4412500e-03,4.4048,49.146
-3.4387500e-03,2.7168,49.140
-3.4362500e-03,0.2560,49.146
-3.4337500e-03,7.2240,49.173
-3.4312500e-03,-0.2624,49.133
-3.4287500e-03,-1.9648,49.123
-3.4262500e-03,2.6160,49.159
-3.4237500e-03,5.3328,49.162
-3.4212500e-03,-2.9744,49.146
-3.4187500e-03,3.6512,49.150
-3.4162500e-03,2.3872,49.151
-3.4137500e-03,1.3712,49.140
-3.4112500e-03,3.4288,49.149
-3.4087500e-03,7.2752,49.162
-3.4062500e-03,-9.8640,49.103
-3.4037500e-03,6.1696,49.153
-3.4012500e-03,10.7104,49.173
-3.3987500e-03,-1.3824,49.143
-3.3962500e-03,-4.1712,49.121
-3.3937500e-03,3.3360,49.159
-3.3912500e-03,6.0320,49.163
-3.3887500e-03,-0.2256,49.139
-3.3862500e-03,0.8160,49.136
-3.3837500e-03,0.1872,49.148
-3.3812500e-03,2.3472,49.148
-3.3787500e-03,8.9456,49.179
-3.3762500e-03,2.3056,49.157
-3.3737500e-03,-4.8128,49.131
-3.3712500e-03,6.1856,49.160
-3.3687500e-03,1.4384,49.154
-3.3662500e-03,1.1504,49.141
-3.3637500e-03,-1.2960,49.127
-3.3612500e-03,5.9408,49.164
-3.3587500e-03,-3.0240,49.121
-3.3562500e-03,7.2400,49.163
-3.3537500e-03,7.2304,49.174
-3.3512500e-03,-3.0080,49.107
-3.3487500e-03,-2.9392,49.133
-3.3462500e-03,9.5248,49.168
-3.3437500e-03,-3.4192,49.140
-3.3412500e-03,1.4176,49.148
-3.3387500e-03,2.2368,49.152
-3.3362500e-03,4.7872,49.163
-3.3337500e-03,-3.1024,49.151
-3.3312500e-03,9.3088,49.177
-3.3287500e-03,3.3008,49.157
-3.3262500e-03,-2.6528,49.134
-3.3237500e-03,-0.7744,49.161
-3.3212500e-03,7.8208,49.175
-3.3187500e-03,-3.4288,49.131
-3.3162500e-03,2.6048,49.148
-3.3137500e-03,2.2240,49.148
-3.3112500e-03,2.6576,49.147
-3.3087500e-03,1.8352,49.144
-3.3062500e-03,13.8208,49.179
-3.3037500e-03,-11.0720,49.124
-3.3012500e-03,-4.3728,49.126
-3.2987500e-03,13.9296,49.167
-3.2962500e-03,4.5392,49.170
-3.2937500e-03,-8.6224,49.136
-3.2912500e-03,2.1712,49.157
-3.2887500e-03,8.0464,49.156
-3.2862500e-03,1.0032,49.155
