t_s,i_A,v_bank_V
-3.4987500e-03,1.7376,49.798
-3.4962500e-03,-2.8112,49.776
-3.4937500e-03,7.5584,49.837
-3.4912500e-03,-4.2896,49.791
-3.4887500e-03,-2.4464,49.797
-3.4862500e-03,5.9728,49.822
-3.4837500e-03,-1.6128,49.796
-3.4812500e-03,-1.9088,49.784
-3.4787500e-03,3.8112,49.827
-3.4762500e-03,1.2592,49.802
-3.4737500e-03,-3.4080,49.780
-3.4712500e-03,2.8960,49.793
-3.4687500e-03,6.5840,49.822
-3.4662500e-03,-6.3216,49.773
-3.4637500e-03,0.2448,49.794
-3.4612500e-03,8.3648,49.825
-3.4587500e-03,-0.0512,49.804
-3.4562500e-03,-2.9168,49.774
-3.4537500e-03,-1.6080,49.807
-3.4512500e-03,2.8592,49.810
-3.4487500e-03,0.2416,49.794
-3.4462500e-03,2.3232,49.796
-3.4437500e-03,-2.2096,49.805
-3.4412500e-03,-3.0544,49.769
-3.4387500e-03,12.3056,49.829
-3.4362500e-03,3.7840,49.840
-3.4337500e-03,-7.4368,49.782
-3.4312500e-03,2.9280,49.814
-3.4287500e-03,4.1824,49.813
-3.4262500e-03,0.1696,49.806
-3.4237500e-03,-3.5744,49.789
-3.4212500e-03,1.6624,49.800
-3.4187500e-03,-1.9504,49.799
-3.4162500e-03,5.6368,49.807
-3.4137500e-03,5.7744,49.824
-3.4112500e-03,-7.0336,49.805
-3.4087500e-03,0.4928,49.802
-3.4062500e-03,8.0480,49.812
-3.4037500e-03,-4.0608,49.800
-3.4012500e-03,-2.9888,49.788
-3.3987500e-03,2.0208,49.788
-3.3962500e-03,4.9184,49.812
-3.3937500e-03,-5.9392,49.777
-3.3912500e-03,6.8608,49.812
-3.3887500e-03,3.7936,49.816
-3.3862500e-03,-4.8176,49.774
-3.3837500e-03,-0.2944,49.791
-3.3812500e-03,4.1968,49.828
-3.3787500e-03,-3.0864,49.768
-3.3762500e-03,1.9968,49.796
-3.3737500e-03,0.8288,49.785
-3.3712500e-03,-0.6528,49.814
-3.3687500e-03,0.4960,49.808
-3.3662500e-03,9.7744,49.829
-3.3637500e-03,-4.2864,49.790
-3.3612500e-03,-5.8640,49.787
-3.3587500e-03,7.1504,49.822
-3.3562500e-03,4.6144,49.813
-3.3537500e-03,-3.1824,49.783
-3.3512500e-03,-1.7584,49.812
-3.3487500e-03,1.0080,49.803
-3.3462500e-03,3.9520,49.805
-3.3437500e-03,0.9584,49.793
-3.3412500e-03,1.4672,49.807
-3.3387500e-03,-6.2352,49.762
-3.3362500e-03,5.4464,49.794
-3.3337500e-03,6.0800,49.820
-3.3312500e-03,-3.5120,49.786
-3.3287500e-03,-3.2048,49.791
-3.3262500e-03,4.5904,49.812
-3.3237500e-03,2.2672,49.804
-3.3212500e-03,-1.8864,49.798
-3.3187500e-03,-1.7872,49.800
-3.3162500e-03,3.1792,49.816
-3.3137500e-03,-2.7872,49.769
-3.3112500e-03,7.9440,49.822
-3.3087500e-03,-0.1968,49.808
-3.3062500e-03,-4.3104,49.779
-3.3037500e-03,6.3824,49.834
-3.3012500e-03,-0.6288,49.820
-3.2987500e-03,-3.3120,49.796
-3.2962500e-03,0.3920,49.796
-3.2937500e-03,5.3680,49.804
-3.2912500e-03,-2.5856,49.804
-3.2887500e-03,-0.1232,49.802
-3.2862500e-03,3.2624,49.793
-3.2837500e-03,1.3840,49.794
-3.2812500e-03,-1.8816,49.788
-3.2787500e-03,4.6320,49.814
-3.2762500e-03,-6.0256,49.781
-3.2737500e-03,2.8448,49.785
-3.2712500e-03,1.6096,49.813
-3.2687500e-03,-0.6080,49.800
-3.2662500e-03,-4.4576,49.785
-3.2637500e-03,8.9760,49.806
-3.2612500e-03,4.1600,49.817
-3.2587500e-03,-5.3840,49.786
-3.2562500e-03,-3.0016,49.788
-3.2537500e-03,9.9216,49.820
-3.2512500e-03,-4.8672,49.784
-3.2487500e-03,-0.1136,49.774
-3.2462500e-03,0.2720,49.806
-3.2437500e-03,2.0912,49.792
-3.2412500e-03,-1.4608,49.788
-3.2387500e-03,8.7552,49.818
-3.2362500e-03,-5.0192,49.794
-3.2337500e-03,-4.5024,49.772
-3.2312500e-03,6.6480,49.820
-3.2287500e-03,3.9456,49.818
-3.2262500e-03,-6.5328,49.777
-3.2237500e-03,1.2304,49.800
-3.2212500e-03,3.5424,49.803
-3.2187500e-03,-0.0320,49.799
-3.2162500e-03,-0.7040,49.795
-3.2137500e-03,1.0832,49.803
-3.2112500e-03,0.9968,49.785
-3.2087500e-03,-0.4016,49.788
-3.2062500e-03,1.9152,49.809
-3.2037500e-03,-1.8208,49.807
-3.2012500e-03,1.6208,49.798
-3.1987500e-03,0.5472,49.805
-3.1962500e-03,1.0112,49.804
-3.1937500e-03,-3.0448,49.798
-3.1912500e-03,4.4080,49.796
-3.1887500e-03,-0.0208,49.813
-3.1862500e-03,-4.2576,49.777
-3.1837500e-03,7.8768,49.826
-3.1812500e-03,5.0784,49.799
-3.1787500e-03,-6.3296,49.785
-3.1762500e-03,3.2592,49.796
-3.1737500e-03,-0.1056,49.818
-3.1712500e-03,0.3328,49.803
-3.1687500e-03,-1.1552,49.796
-3.1662500e-03,1.4432,49.793
-3.1637500e-03,-4.4448,49.802
-3.1612500e-03,5.2000,49.808
-3.1587500e-03,7.6592,49.822
-3.1562500e-03,-2.4032,49.814
-3.1537500e-03,-4.0704,49.775
-3.1512500e-03,5.9664,49.810
-3.1487500e-03,-1.2608,49.806
-3.1462500e-03,-0.6640,49.793
-3.1437500e-03,-0.2960,49.800
-3.1412500e-03,1.2144,49.812
-3.1387500e-03,-3.5904,49.776
-3.1362500e-03,10.0064,49.813
-3.1337500e-03,1.7872,49.818
-3.1312500e-03,-8.4528,49.776
-3.1287500e-03,2.5328,49.798
-3.1262500e-03,8.2656,49.822
-3.1237500e-03,-5.5984,49.781
-3.1212500e-03,-1.1728,49.802
-3.1187500e-03,3.8176,49.797
-3.1162500e-03,0.3712,49.796
-3.1137500e-03,-0.9424,49.783
-3.1112500e-03,7.4304,49.819
-3.1087500e-03,-2.2960,49.795
-3.1062500e-03,-4.8592,49.774
-3.1037500e-03,6.0496,49.804
-3.1012500e-03,0.6352,49.789
-3.0987500e-03,-3.1344,49.787
-3.0962500e-03,1.7664,49.802
-3.0937500e-03,2.6128,49.814
-3.0912500e-03,-2.1904,49.795
-3.0887500e-03,2.4624,49.804
-3.0862500e-03,4.5392,49.816
-3.0837500e-03,-4.3952,49.792
-3.0812500e-03,-1.3200,49.796
-3.0787500e-03,6.5776,49.814
-3.0762500e-03,-0.3616,49.801
-3.0737500e-03,-1.5280,49.785
-3.0712500e-03,0.9760,49.811
-3.0687500e-03,0.2080,49.796
-3.0662500e-03,0.2704,49.802
-3.0637500e-03,2.9712,49.805
-3.0612500e-03,-0.5888,49.813
-3.0587500e-03,-4.9376,49.771
-3.0562500e-03,10.7888,49.826
-3.0537500e-03,4.0016,49.823
-3.0512500e-03,-5.8784,49.793
-3.0487500e-03,1.1568,49.796
-3.0462500e-03,3.2080,49.810
-3.0437500e-03,0.0960,49.809
-3.0412500e-03,-0.9728,49.801
-3.0387500e-03,-0.9856,49.793
-3.0362500e-03,-0.8688,49.784
-3.0337500e-03,4.0304,49.810
-3.0312500e-03,8.5088,49.823
-3.0287500e-03,-4.9856,49.807
-3.0262500e-03,-2.7984,49.781
-3.0237500e-03,7.9408,49.794
-3.0212500e-03,-1.3904,49.798
-3.0187500e-03,-4.4928,49.797
-3.0162500e-03,1.9328,49.789
-3.0137500e-03,4.1824,49.796
-3.0112500e-03,-2.7040,49.793
-3.0087500e-03,1.5200,49.807
-3.0062500e-03,2.6176,49.818
-3.0037500e-03,-0.5200,49.803
-3.0012500e-03,-0.8400,49.804
-2.9987500e-03,3.3792,49.824
-2.9962500e-03,-5.3728,49.796
-2.9937500e-03,3.8352,49.809
-2.9912500e-03,1.4464,49.800
-2.9887500e-03,-1.2768,49.799
-2.9862500e-03,-1.3328,49.776
-2.9837500e-03,7.4576,49.817
-2.9812500e-03,0.5168,49.799
-2.9787500e-03,-4.9056,49.777
-2.9762500e-03,0.7872,49.796
-2.9737500e-03,5.8800,49.813
-2.9712500e-03,-4.1680,49.777
-2.9687500e-03,0.7632,49.796
-2.9662500e-03,1.0576,49.811
-2.9637500e-03,1.5360,49.804
-2.9612500e-03,0.2336,49.785
-2.9587500e-03,7.4576,49.842
-2.9562500e-03,-10.8976,49.772
-2.9537500e-03,4.6944,49.791
-2.9512500e-03,7.8752,49.814
-2.9487500e-03,-0.4384,49.802
-2.9462500e-03,-6.2560,49.764
-2.9437500e-03,4.8096,49.824
-2.9412500e-03,1.3600,49.798
-2.9387500e-03,-0.3040,49.785
-2.9362500e-03,-1.8528,49.786
-2.9337500e-03,3.4688,49.818
-2.9312500e-03,-2.2944,49.778
-2.9287500e-03,4.1680,49.807
-2.9262500e-03,1.8672,49.814
-2.9237500e-03,-1.7856,49.785
-2.9212500e-03,1.8400,49.786
-2.9187500e-03,-0.6336,49.802
-2.9162500e-03,-0.5776,49.805
-2.9137500e-03,-0.4832,49.796
-2.9112500e-03,2.9968,49.806
-2.9087500e-03,-4.4000,49.796
-2.9062500e-03,2.8336,49.802
-2.9037500e-03,8.7008,49.824
-2.9012500e-03,0.0080,49.808
-2.8987500e-03,-6.0576,49.770
-2.8962500e-03,6.8640,49.807
-2.8937500e-03,-3.6192,49.811
-2.8912500e-03,1.1680,49.795
-2.8887500e-03,-0.5376,49.788
-2.8862500e-03,1.8064,49.825
-2.8837500e-03,-5.9056,49.799
-2.8812500e-03,11.4368,49.820
-2.8787500e-03,3.5488,49.827
-2.8762500e-03,-6.2272,49.775
-2.8737500e-03,-1.8528,49.793
-2.8712500e-03,9.6080,49.831
-2.8687500e-03,-4.1472,49.789
-2.8662500e-03,-0.0000,49.798
-2.8637500e-03,-0.6944,49.806
-2.8612500e-03,3.8320,49.809
-2.8587500e-03,-2.1120,49.792
-2.8562500e-03,8.9792,49.823
-2.8537500e-03,-4.2016,49.780
-2.8512500e-03,-4.9776,49.761
-2.8487500e-03,5.7216,49.801
-2.8462500e-03,3.9024,49.813
-2.8437500e-03,-6.0336,49.783
-2.8412500e-03,2.3504,49.800
-2.8387500e-03,1.9536,49.795
-2.8362500e-03,0.4176,49.814
-2.8337500e-03,0.0224,49.800
-2.8312500e-03,6.3520,49.819
-2.8287500e-03,-7.2608,49.773
-2.8262500e-03,2.0704,49.806
-2.8237500e-03,6.3568,49.829
-2.8212500e-03,-1.9600,49.813
-2.8187500e-03,-1.3648,49.777
-2.8162500e-03,2.0656,49.801
-2.8137500e-03,0.9968,49.813
-2.8112500e-03,-2.6400,49.793
-2.8087500e-03,3.1024,49.795
-2.8062500e-03,1.5856,49.812
-2.8037500e-03,-5.3232,49.784
-2.8012500e-03,5.7792,49.813
-2.7987500e-03,7.5520,49.831
-2.7962500e-03,-4.1744,49.800
-2.7937500e-03,1.4416,49.802
-2.7912500e-03,-2.6976,49.799
-2.7887500e-03,2.9056,49.804
-2.7862500e-03,-0.0592,49.803
-2.7837500e-03,1.8288,49.798
-2.7812500e-03,-4.6128,49.800
-2.7787500e-03,4.6000,49.826
-2.7762500e-03,3.7488,49.811
-2.7737500e-03,-1.2720,49.796
-2.7712500e-03,-3.7600,49.806
-2.7687500e-03,7.6624,49.804
-2.7662500e-03,-4.2048,49.804
-2.7637500e-03,-0.1072,49.808
-2.7612500e-03,0.2256,49.784
-2.7587500e-03,2.2656,49.811
-2.7562500e-03,-7.5376,49.781
-2.7537500e-03,11.5552,49.821
-2.7512500e-03,6.6944,49.835
-2.7487500e-03,-9.2960,49.779
-2.7462500e-03,1.2144,49.789
-2.7437500e-03,9.3472,49.835
-2.7412500e-03,-5.4864,49.795
-2.7387500e-03,-2.5312,49.795
-2.7362500e-03,3.7776,49.805
-2.7337500e-03,2.3472,49.820
-2.7312500e-03,-1.7968,49.796
-2.7287500e-03,1.7696,49.816
-2.7262500e-03,1.9312,49.804
-2.7237500e-03,-1.4816,49.780
-2.7212500e-03,-0.0992,49.805
-2.7187500e-03,-0.4544,49.809
-2.7162500e-03,-1.7872,49.775
-2.7137500e-03,6.0352,49.822
-2.7112500e-03,0.1824,49.802
-2.7087500e-03,-3.4256,49.786
-2.7062500e-03,3.1696,49.814
-2.7037500e-03,7.0512,49.822
-2.7012500e-03,-4.3920,49.780
-2.6987500e-03,-2.4160,49.775
-2.6962500e-03,6.5328,49.817
-2.6937500e-03,0.1920,49.808
