t_s,i_A,v_bank_V
-3.4987500e-03,-0.8976,29.455
-3.4962500e-03,4.1712,29.456
-3.4937500e-03,-0.3136,29.442
-3.4912500e-03,-6.2608,29.444
-3.4887500e-03,5.5216,29.445
-3.4862500e-03,6.1760,29.447
-3.4837500e-03,-5.0544,29.452
-3.4812500e-03,-2.0800,29.452
-3.4787500e-03,0.7392,29.452
-3.4762500e-03,3.4720,29.459
-3.4737500e-03,-1.7216,29.445
-3.4712500e-03,-0.7328,29.441
-3.4687500e-03,-5.0384,29.452
-3.4662500e-03,6.5568,29.449
-3.4637500e-03,7.7824,29.438
-3.4612500e-03,-6.9088,29.449
-3.4587500e-03,-6.1888,29.466
-3.4562500e-03,9.4032,29.440
-3.4537500e-03,0.4784,29.453
-3.4512500e-03,-5.1664,29.431
-3.4487500e-03,-2.6208,29.434
-3.4462500e-03,6.2624,29.455
-3.4437500e-03,-3.0224,29.428
-3.4412500e-03,4.6768,29.446
-3.4387500e-03,-0.9616,29.452
-3.4362500e-03,-3.3696,29.451
-3.4337500e-03,1.5136,29.452
-3.4312500e-03,4.3056,29.458
-3.4287500e-03,-6.6976,29.434
-3.4262500e-03,0.5696,29.442
-3.4237500e-03,3.9760,29.438
-3.4212500e-03,-0.2800,29.455
-3.4187500e-03,-6.1968,29.458
-3.4162500e-03,13.4384,29.445
-3.4137500e-03,-3.9616,29.447
-3.4112500e-03,-9.0400,29.454
-3.4087500e-03,4.8960,29.448
-3.4062500e-03,4.7984,29.451
-3.4037500e-03,-5.9104,29.453
-3.4012500e-03,-0.0176,29.459
-3.3987500e-03,2.3040,29.453
-3.3962500e-03,-0.9840,29.453
-3.3937500e-03,0.3920,29.451
-3.3912500e-03,2.8384,29.446
-3.3887500e-03,-1.7328,29.431
-3.3862500e-03,-3.8432,29.449
-3.3837500e-03,3.4336,29.455
-3.3812500e-03,0.8928,29.442
-3.3787500e-03,-0.8928,29.449
-3.3762500e-03,-2.5680,29.453
-3.3737500e-03,0.8240,29.458
-3.3712500e-03,0.5552,29.460
-3.3687500e-03,1.9056,29.455
-3.3662500e-03,-2.7856,29.454
-3.3637500e-03,-2.1232,29.453
-3.3612500e-03,5.4816,29.459
-3.3587500e-03,2.2288,29.445
-3.3562500e-03,-5.7536,29.454
-3.3537500e-03,1.1648,29.470
-3.3512500e-03,1.7856,29.452
-3.3487500e-03,-0.7040,29.451
-3.3462500e-03,-1.8848,29.448
-3.3437500e-03,1.1632,29.446
-3.3412500e-03,-1.7984,29.457
-3.3387500e-03,2.1792,29.451
-3.3362500e-03,3.7968,29.434
-3.3337500e-03,-3.4880,29.461
-3.3312500e-03,-1.4608,29.450
-3.3287500e-03,5.1056,29.438
-3.3262500e-03,-3.4992,29.441
-3.3237500e-03,-3.2240,29.450
-3.3212500e-03,3.3104,29.460
-3.3187500e-03,1.8320,29.444
-3.3162500e-03,-3.9904,29.468
-3.3137500e-03,2.0176,29.448
-3.3112500e-03,4.0064,29.454
-3.3087500e-03,-3.2080,29.449
-3.3062500e-03,-0.8176,29.452
-3.3037500e-03,1.8720,29.440
-3.3012500e-03,-2.9968,29.436
-3.2987500e-03,1.3664,29.438
-3.2962500e-03,1.8576,29.445
-3.2937500e-03,-2.9712,29.445
-3.2912500e-03,0.1952,29.450
-3.2887500e-03,5.8736,29.436
-3.2862500e-03,-2.0304,29.445
-3.2837500e-03,-4.9760,29.454
-3.2812500e-03,2.5520,29.448
-3.2787500e-03,3.3392,29.461
-3.2762500e-03,-3.9056,29.448
-3.2737500e-03,-0.0304,29.451
-3.2712500e-03,1.4528,29.448
-3.2687500e-03,0.0368,29.441
-3.2662500e-03,1.3376,29.462
-3.2637500e-03,1.5216,29.446
-3.2612500e-03,-5.1216,29.451
-3.2587500e-03,2.1616,29.431
-3.2562500e-03,4.0912,29.452
-3.2537500e-03,-2.4496,29.456
-3.2512500e-03,-4.0336,29.446
-3.2487500e-03,3.8784,29.436
-3.2462500e-03,0.7616,29.460
-3.2437500e-03,-2.3520,29.457
-3.2412500e-03,-0.3296,29.450
-3.2387500e-03,1.8720,29.457
-3.2362500e-03,-1.5072,29.459
-3.2337500e-03,2.6720,29.448
-3.2312500e-03,-0.9792,29.443
-3.2287500e-03,-0.5936,29.456
-3.2262500e-03,1.7088,29.444
-3.2237500e-03,-0.7920,29.460
