t_s,i_A,v_bank_V
-3.4987500e-03,-4.0080,49.764
-3.4962500e-03,3.1168,49.806
-3.4937500e-03,-0.9728,49.794
-3.4912500e-03,0.7072,49.787
-3.4887500e-03,1.9984,49.775
-3.4862500e-03,12.2048,49.827
-3.4837500e-03,-12.9456,49.754
-3.4812500e-03,2.4384,49.782
-3.4787500e-03,12.8832,49.835
-3.4762500e-03,0.5776,49.800
-3.4737500e-03,-7.5824,49.753
-3.4712500e-03,2.1072,49.792
-3.4687500e-03,6.1712,49.791
-3.4662500e-03,-1.5632,49.785
-3.4637500e-03,-1.1632,49.774
-3.4612500e-03,1.9200,49.812
-3.4587500e-03,0.1152,49.778
-3.4562500e-03,2.2848,49.777
-3.4537500e-03,2.7232,49.796
-3.4512500e-03,-4.0656,49.771
-3.4487500e-03,3.4688,49.770
-3.4462500e-03,0.0576,49.795
-3.4437500e-03,-0.0688,49.785
-3.4412500e-03,-3.4400,49.775
-3.4387500e-03,6.4560,49.778
-3.4362500e-03,-4.5600,49.786
-3.4337500e-03,0.7904,49.780
-3.4312500e-03,11.5328,49.829
-3.4287500e-03,2.9760,49.806
-3.4262500e-03,-7.8736,49.767
-3.4237500e-03,5.8960,49.782
-3.4212500e-03,-2.2928,49.787
-3.4187500e-03,0.8432,49.770
-3.4162500e-03,-1.6992,49.771
-3.4137500e-03,4.0704,49.824
-3.4112500e-03,-6.2464,49.786
-3.4087500e-03,6.8768,49.805
-3.4062500e-03,6.0848,49.801
-3.4037500e-03,-2.1904,49.781
-3.4012500e-03,-4.8416,49.785
-3.3987500e-03,8.0288,49.809
-3.3962500e-03,-3.8560,49.780
-3.3937500e-03,0.3536,49.772
-3.3912500e-03,-0.5008,49.774
-3.3887500e-03,1.9296,49.795
-3.3862500e-03,-3.9248,49.754
-3.3837500e-03,12.7792,49.821
-3.3812500e-03,0.6864,49.815
-3.3787500e-03,-9.2560,49.760
-3.3762500e-03,4.2784,49.787
-3.3737500e-03,7.8208,49.814
-3.3712500e-03,-6.4672,49.779
-3.3687500e-03,-1.7120,49.782
-3.3662500e-03,5.4896,49.799
-3.3637500e-03,1.9920,49.784
-3.3612500e-03,-1.3248,49.797
-3.3587500e-03,3.3488,49.785
-3.3562500e-03,1.5776,49.779
-3.3537500e-03,-3.5680,49.772
