t_s,i_A,v_bank_V
-3.4987500e-03,5.4400,49.251
-3.4962500e-03,0.5744,49.213
-3.4937500e-03,3.8368,49.216
-3.4912500e-03,2.2816,49.228
-3.4887500e-03,-4.7872,49.186
-3.4862500e-03,6.4816,49.227
-3.4837500e-03,8.7424,49.245
-3.4812500e-03,-3.5504,49.193
-3.4787500e-03,-1.8976,49.189
-3.4762500e-03,5.4848,49.228
-3.4737500e-03,4.3552,49.236
-3.4712500e-03,-3.1808,49.210
-3.4687500e-03,2.5504,49.215
-3.4662500e-03,2.7792,49.228
-3.4637500e-03,1.8656,49.211
-3.4612500e-03,4.1984,49.222
-3.4587500e-03,2.4416,49.216
-3.4562500e-03,-0.2528,49.209
-3.4537500e-03,5.4464,49.230
-3.4512500e-03,-1.4400,49.215
-3.4487500e-03,0.5520,49.219
-3.4462500e-03,2.4400,49.207
-3.4437500e-03,4.6064,49.217
-3.4412500e-03,-6.2880,49.197
-3.4387500e-03,6.0784,49.216
-3.4362500e-03,12.4000,49.252
-3.4337500e-03,-4.9632,49.203
-3.4312500e-03,-2.8336,49.199
-3.4287500e-03,9.2096,49.241
-3.4262500e-03,-0.6112,49.238
-3.4237500e-03,0.0688,49.231
-3.4212500e-03,2.4528,49.233
-3.4187500e-03,2.3376,49.214
-3.4162500e-03,-2.3168,49.202
-3.4137500e-03,12.6720,49.237
-3.4112500e-03,1.6256,49.213
-3.4087500e-03,-9.5200,49.183
-3.4062500e-03,5.6448,49.210
-3.4037500e-03,9.4752,49.236
-3.4012500e-03,-3.8768,49.208
-3.3987500e-03,-1.1296,49.223
-3.3962500e-03,5.8816,49.234
-3.3937500e-03,2.2880,49.226
-3.3912500e-03,2.4080,49.229
-3.3887500e-03,6.6720,49.236
-3.3862500e-03,-6.2464,49.196
-3.3837500e-03,0.0544,49.204
-3.3812500e-03,8.0464,49.243
-3.3787500e-03,2.2224,49.220
-3.3762500e-03,-3.5168,49.194
-3.3737500e-03,3.4720,49.222
-3.3712500e-03,4.6800,49.215
-3.3687500e-03,0.5584,49.223
-3.3662500e-03,0.3792,49.230
-3.3637500e-03,6.6608,49.237
-3.3612500e-03,-5.5952,49.184
-3.3587500e-03,4.9840,49.241
-3.3562500e-03,7.0704,49.235
-3.3537500e-03,-0.5120,49.225
-3.3512500e-03,-0.4064,49.211
-3.3487500e-03,3.2160,49.244
-3.3462500e-03,2.0000,49.242
-3.3437500e-03,0.5648,49.232
-3.3412500e-03,2.6496,49.220
-3.3387500e-03,1.3376,49.217
-3.3362500e-03,-2.9440,49.202
-3.3337500e-03,11.2384,49.215
-3.3312500e-03,4.7488,49.235
-3.3287500e-03,-5.7392,49.195
-3.3262500e-03,2.8208,49.213
-3.3237500e-03,4.8240,49.227
-3.3212500e-03,1.3408,49.225
-3.3187500e-03,-0.6752,49.218
-3.3162500e-03,2.4640,49.226
-3.3137500e-03,-2.8496,49.198
-3.3112500e-03,8.5184,49.219
-3.3087500e-03,8.8832,49.238
-3.3062500e-03,-6.4592,49.201
-3.3037500e-03,-1.6480,49.206
-3.3012500e-03,11.0720,49.247
-3.2987500e-03,-0.3136,49.210
-3.2962500e-03,-3.4544,49.204
-3.2937500e-03,3.8960,49.236
-3.2912500e-03,4.5616,49.241
-3.2887500e-03,-0.4944,49.221
-3.2862500e-03,4.8560,49.231
-3.2837500e-03,-0.2896,49.226
-3.2812500e-03,1.4352,49.223
-3.2787500e-03,3.1888,49.228
-3.2762500e-03,3.1968,49.220
-3.2737500e-03,-4.9872,49.201
-3.2712500e-03,7.0624,49.231
-3.2687500e-03,3.9392,49.230
-3.2662500e-03,-1.1184,49.197
-3.2637500e-03,0.3712,49.210
-3.2612500e-03,12.8448,49.245
-3.2587500e-03,-6.6608,49.183
-3.2562500e-03,-4.0288,49.191
-3.2537500e-03,8.4800,49.234
-3.2512500e-03,5.7232,49.246
-3.2487500e-03,-4.1184,49.213
-3.2462500e-03,1.7392,49.242
-3.2437500e-03,2.8896,49.225
-3.2412500e-03,4.3008,49.232
-3.2387500e-03,0.2112,49.223
-3.2362500e-03,3.6864,49.217
-3.2337500e-03,-0.5824,49.216
-3.2312500e-03,3.0992,49.233
-3.2287500e-03,3.0752,49.229
-3.2262500e-03,1.8640,49.213
