t_s,i_A,v_bank_V
-3.4987500e-03,2.3504,9.654
-3.4962500e-03,0.2736,9.655
-3.4937500e-03,2.0560,9.660
-3.4912500e-03,3.2192,9.652
-3.4887500e-03,2.3504,9.652
-3.4862500e-03,0.7968,9.650
-3.4837500e-03,1.8288,9.652
-3.4812500e-03,3.6928,9.653
-3.4787500e-03,2.5328,9.660
-3.4762500e-03,0.7728,9.652
-3.4737500e-03,1.3520,9.650
-3.4712500e-03,3.3200,9.654
-3.4687500e-03,2.5072,9.658
-3.4662500e-03,1.0944,9.658
-3.4637500e-03,0.7024,9.652
-3.4612500e-03,3.7328,9.664
-3.4587500e-03,2.4048,9.649
-3.4562500e-03,1.7104,9.660
-3.4537500e-03,0.4752,9.651
-3.4512500e-03,3.7408,9.646
-3.4487500e-03,2.5104,9.653
-3.4462500e-03,1.6336,9.651
-3.4437500e-03,-0.1632,9.657
-3.4412500e-03,3.6864,9.652
-3.4387500e-03,2.8656,9.663
-3.4362500e-03,1.9760,9.655
-3.4337500e-03,0.2160,9.660
-3.4312500e-03,3.5248,9.654
-3.4287500e-03,2.7296,9.659
-3.4262500e-03,2.0544,9.659
-3.4237500e-03,0.1744,9.656
-3.4212500e-03,0.2304,9.654
-3.4187500e-03,10.8640,9.669
-3.4162500e-03,-0.4416,9.671
-3.4137500e-03,-5.4768,9.677
-3.4112500e-03,5.1504,9.669
-3.4087500e-03,7.1920,9.659
-3.4062500e-03,-0.7712,9.665
-3.4037500e-03,-1.6832,9.644
-3.4012500e-03,4.6256,9.667
-3.3987500e-03,4.6432,9.664
-3.3962500e-03,0.0880,9.648
-3.3937500e-03,0.2832,9.649
-3.3912500e-03,2.9872,9.656
-3.3887500e-03,3.1488,9.660
-3.3862500e-03,1.0032,9.650
-3.3837500e-03,1.4528,9.661
-3.3812500e-03,2.1888,9.657
-3.3787500e-03,3.3248,9.665
-3.3762500e-03,2.1744,9.647
-3.3737500e-03,1.3712,9.647
-3.3712500e-03,0.7424,9.652
-3.3687500e-03,6.7008,9.696
-3.3662500e-03,-9.6384,9.666
-3.3637500e-03,10.2224,9.677
-3.3612500e-03,7.4496,9.670
-3.3587500e-03,-3.0704,9.644
-3.3562500e-03,-1.7488,9.661
-3.3537500e-03,7.4496,9.656
-3.3512500e-03,2.0592,9.657
-3.3487500e-03,-0.8352,9.657
-3.3462500e-03,2.2560,9.659
-3.3437500e-03,4.8224,9.654
