t_s,i_A,v_bank_V
-3.0912500e-03,-4.3440,49.756
-3.0887500e-03,-2.6608,49.756
-3.0862500e-03,7.3824,49.798
-3.0837500e-03,-5.3392,49.751
-3.0812500e-03,1.8736,49.783
-3.0787500e-03,-0.5056,49.781
-3.0762500e-03,2.5808,49.767
-3.0737500e-03,0.5568,49.755
-3.0712500e-03,9.8128,49.804
-3.0687500e-03,-13.1600,49.749
-3.0662500e-03,-0.4336,49.758
-3.0637500e-03,9.7712,49.791
-3.0612500e-03,0.8112,49.772
-3.0587500e-03,-8.8656,49.741
-3.0562500e-03,3.2720,49.778
-3.0537500e-03,4.4976,49.789
-3.0512500e-03,-1.0496,49.773
-3.0487500e-03,-1.5328,49.765
-3.0462500e-03,2.2544,49.781
-3.0437500e-03,-1.1536,49.759
-3.0412500e-03,3.4192,49.777
-3.0387500e-03,0.0016,49.764
-3.0362500e-03,-2.6080,49.758
-3.0337500e-03,3.6912,49.764
-3.0312500e-03,-0.4000,49.769
-3.0287500e-03,-2.0480,49.763
-3.0262500e-03,-1.3008,49.752
-3.0237500e-03,5.6608,49.777
-3.0212500e-03,-5.5920,49.772
-3.0187500e-03,-2.0432,49.765
-3.0162500e-03,13.0864,49.812
-3.0137500e-03,0.0480,49.786
-3.0112500e-03,-8.3472,49.756
-3.0087500e-03,6.2688,49.782
-3.0062500e-03,-2.4528,49.767
-3.0037500e-03,0.8512,49.764
-3.0012500e-03,-1.5088,49.758
-2.9987500e-03,2.9952,49.786
-2.9962500e-03,-6.0640,49.759
-2.9937500e-03,7.4032,49.768
-2.9912500e-03,3.7888,49.792
-2.9887500e-03,-3.1760,49.751
-2.9862500e-03,-4.9536,49.757
-2.9837500e-03,9.2736,49.784
-2.9812500e-03,-6.0096,49.727
-2.9787500e-03,1.5840,49.765
-2.9762500e-03,-1.1328,49.757
-2.9737500e-03,2.7872,49.767
-2.9712500e-03,-3.9888,49.747
-2.9687500e-03,15.0976,49.818
-2.9662500e-03,-7.1984,49.787
-2.9637500e-03,-9.0736,49.756
-2.9612500e-03,8.1184,49.800
-2.9587500e-03,6.1184,49.796
-2.9562500e-03,-9.3872,49.748
-2.9537500e-03,0.7328,49.787
-2.9512500e-03,5.6432,49.785
-2.9487500e-03,0.9696,49.757
-2.9462500e-03,-2.3344,49.765
-2.9437500e-03,2.5008,49.769
-2.9412500e-03,-0.3232,49.763
-2.9387500e-03,0.6128,49.761
-2.9362500e-03,0.6480,49.769
-2.9337500e-03,-1.6128,49.766
-2.9312500e-03,1.0480,49.765
-2.9287500e-03,1.6576,49.780
-2.9262500e-03,-0.4768,49.776
-2.9237500e-03,-3.1536,49.776
-2.9212500e-03,5.3920,49.780
-2.9187500e-03,1.7952,49.792
-2.9162500e-03,-9.8272,49.751
-2.9137500e-03,8.0368,49.802
-2.9112500e-03,8.4400,49.800
-2.9087500e-03,-6.3616,49.744
-2.9062500e-03,-0.7600,49.757
-2.9037500e-03,-0.2112,49.764
-2.9012500e-03,3.6304,49.778
-2.8987500e-03,-2.8368,49.764
-2.8962500e-03,2.6272,49.766
-2.8937500e-03,-4.3664,49.762
-2.8912500e-03,4.3424,49.779
-2.8887500e-03,4.6368,49.775
-2.8862500e-03,-1.2544,49.763
-2.8837500e-03,-4.6368,49.762
-2.8812500e-03,8.0096,49.778
-2.8787500e-03,-5.0800,49.754
-2.8762500e-03,0.4288,49.763
-2.8737500e-03,-0.3664,49.769
-2.8712500e-03,2.3824,49.771
-2.8687500e-03,-7.5776,49.750
-2.8662500e-03,13.3776,49.803
-2.8637500e-03,2.6624,49.804
-2.8612500e-03,-11.2048,49.744
-2.8587500e-03,2.5328,49.770
-2.8562500e-03,8.9552,49.791
-2.8537500e-03,-6.8768,49.753
-2.8512500e-03,-2.0160,49.771
-2.8487500e-03,3.7968,49.777
-2.8462500e-03,2.5616,49.769
-2.8437500e-03,-1.6880,49.785
-2.8412500e-03,1.4256,49.794
-2.8387500e-03,1.1536,49.770
-2.8362500e-03,-0.7584,49.774
-2.8337500e-03,-0.0480,49.750
-2.8312500e-03,-2.2272,49.764
-2.8287500e-03,0.1936,49.759
-2.8262500e-03,3.9648,49.787
-2.8237500e-03,0.4224,49.766
-2.8212500e-03,-4.0800,49.766
-2.8187500e-03,4.0272,49.773
-2.8162500e-03,9.2176,49.816
-2.8137500e-03,-13.2624,49.748
-2.8112500e-03,0.6688,49.761
-2.8087500e-03,11.5392,49.795
-2.8062500e-03,-1.5488,49.783
-2.8037500e-03,-5.6592,49.749
-2.8012500e-03,0.3360,49.781
-2.7987500e-03,4.6144,49.781
-2.7962500e-03,-1.2880,49.763
-2.7937500e-03,0.6048,49.776
-2.7912500e-03,-1.6176,49.782
-2.7887500e-03,-0.1664,49.764
-2.7862500e-03,5.3904,49.780
-2.7837500e-03,1.4128,49.779
-2.7812500e-03,-4.6864,49.766
-2.7787500e-03,3.7648,49.780
-2.7762500e-03,-1.0048,49.767
-2.7737500e-03,0.3968,49.764
-2.7712500e-03,-1.2144,49.766
-2.7687500e-03,1.9040,49.775
-2.7662500e-03,-7.5936,49.756
-2.7637500e-03,7.5664,49.792
-2.7612500e-03,12.3056,49.825
-2.7587500e-03,-10.7856,49.764
-2.7562500e-03,-2.4128,49.769
-2.7537500e-03,9.6832,49.800
-2.7512500e-03,-2.9024,49.780
-2.7487500e-03,-4.5584,49.764
-2.7462500e-03,2.4704,49.777
-2.7437500e-03,4.2240,49.783
-2.7412500e-03,-3.2240,49.758
-2.7387500e-03,3.2992,49.796
-2.7362500e-03,2.9680,49.805
-2.7337500e-03,-3.1008,49.758
-2.7312500e-03,0.1920,49.767
-2.7287500e-03,2.3248,49.798
-2.7262500e-03,-4.2896,49.753
-2.7237500e-03,3.3824,49.780
-2.7212500e-03,2.2000,49.788
-2.7187500e-03,-2.2928,49.757
-2.7162500e-03,0.9728,49.763
-2.7137500e-03,13.3184,49.810
-2.7112500e-03,-10.3120,49.774
-2.7087500e-03,-8.5872,49.759
-2.7062500e-03,12.1552,49.802
-2.7037500e-03,3.5856,49.792
-2.7012500e-03,-7.8032,49.762
-2.6987500e-03,0.3040,49.773
-2.6962500e-03,4.0944,49.781
-2.6937500e-03,1.4032,49.776
-2.6912500e-03,0.0048,49.776
-2.6887500e-03,1.5792,49.787
-2.6862500e-03,-3.9888,49.765
-2.6837500e-03,4.2368,49.767
-2.6812500e-03,3.3200,49.767
-2.6787500e-03,-2.6656,49.775
-2.6762500e-03,-1.4416,49.760
-2.6737500e-03,2.6992,49.779
-2.6712500e-03,0.7120,49.777
-2.6687500e-03,-1.4320,49.760
-2.6662500e-03,0.7328,49.773
-2.6637500e-03,-1.3232,49.802
-2.6612500e-03,-1.0608,49.770
-2.6587500e-03,10.8864,49.812
-2.6562500e-03,-1.7728,49.773
-2.6537500e-03,-4.5984,49.762
-2.6512500e-03,5.1136,49.780
-2.6487500e-03,0.3264,49.770
-2.6462500e-03,-3.1424,49.769
-2.6437500e-03,-0.6720,49.755
-2.6412500e-03,4.2160,49.775
-2.6387500e-03,-2.5264,49.772
-2.6362500e-03,2.3584,49.780
-2.6337500e-03,3.4208,49.788
-2.6312500e-03,-1.2096,49.769
-2.6287500e-03,-1.8304,49.764
-2.6262500e-03,5.5232,49.786
-2.6237500e-03,-7.3168,49.761
-2.6212500e-03,3.2384,49.779
-2.6187500e-03,2.4496,49.768
-2.6162500e-03,-0.3568,49.763
-2.6137500e-03,-6.6720,49.756
-2.6112500e-03,17.7312,49.812
-2.6087500e-03,-4.5120,49.788
-2.6062500e-03,-10.6416,49.755
-2.6037500e-03,5.2928,49.800
-2.6012500e-03,8.1376,49.799
-2.5987500e-03,-6.8272,49.745
-2.5962500e-03,-0.4944,49.788
-2.5937500e-03,1.2304,49.783
-2.5912500e-03,3.6240,49.779
-2.5887500e-03,0.1520,49.773
-2.5862500e-03,2.6144,49.780
-2.5837500e-03,-4.8560,49.769
-2.5812500e-03,3.0016,49.780
-2.5787500e-03,1.9248,49.787
-2.5762500e-03,-0.4912,49.766
-2.5737500e-03,-4.2384,49.768
-2.5712500e-03,5.4784,49.778
-2.5687500e-03,0.5632,49.774
-2.5662500e-03,-1.7040,49.764
-2.5637500e-03,0.6784,49.771
-2.5612500e-03,5.4352,49.799
-2.5587500e-03,-11.8800,49.750
-2.5562500e-03,10.8144,49.804
-2.5537500e-03,6.5152,49.811
-2.5512500e-03,-7.2464,49.771
-2.5487500e-03,0.3024,49.753
-2.5462500e-03,2.9328,49.778
-2.5437500e-03,-0.5648,49.772
-2.5412500e-03,-3.0960,49.764
-2.5387500e-03,4.1824,49.782
-2.5362500e-03,-2.0704,49.773
-2.5337500e-03,0.1504,49.763
-2.5312500e-03,4.7520,49.796
-2.5287500e-03,1.9824,49.779
-2.5262500e-03,-3.4880,49.776
