t_s,i_A,v_bank_V
-3.0937500e-03,4.6272,49.743
-3.0912500e-03,-5.7168,49.728
-3.0887500e-03,-2.5984,49.725
-3.0862500e-03,3.5232,49.727
-3.0837500e-03,1.0608,49.724
-3.0812500e-03,-1.6448,49.716
-3.0787500e-03,1.2144,49.734
-3.0762500e-03,0.8720,49.720
-3.0737500e-03,-0.6176,49.729
-3.0712500e-03,0.0832,49.742
-3.0687500e-03,-1.6848,49.724
-3.0662500e-03,-0.1952,49.712
-3.0637500e-03,0.1072,49.735
-3.0612500e-03,0.0576,49.720
-3.0587500e-03,-2.3712,49.727
-3.0562500e-03,2.3840,49.733
-3.0537500e-03,2.7936,49.763
-3.0512500e-03,-5.8144,49.732
-3.0487500e-03,4.9984,49.738
-3.0462500e-03,3.2384,49.766
-3.0437500e-03,-2.6400,49.741
-3.0412500e-03,-0.6400,49.711
-3.0387500e-03,-1.6512,49.726
-3.0362500e-03,-0.0144,49.736
-3.0337500e-03,0.2496,49.725
-3.0312500e-03,0.8656,49.714
-3.0287500e-03,-3.7904,49.740
-3.0262500e-03,2.3120,49.728
-3.0237500e-03,6.2752,49.737
-3.0212500e-03,-1.3040,49.741
-3.0187500e-03,-4.2224,49.713
-3.0162500e-03,3.0080,49.709
-3.0137500e-03,-2.0928,49.727
-3.0112500e-03,-0.1824,49.718
-3.0087500e-03,-1.1616,49.715
-3.0062500e-03,0.2560,49.722
-3.0037500e-03,-1.8416,49.717
-3.0012500e-03,5.3072,49.723
-2.9987500e-03,1.2704,49.757
-2.9962500e-03,-4.2528,49.736
-2.9937500e-03,-0.2928,49.713
-2.9912500e-03,5.1840,49.723
-2.9887500e-03,-5.9440,49.724
-2.9862500e-03,-1.5440,49.723
-2.9837500e-03,2.2400,49.716
-2.9812500e-03,1.5120,49.724
-2.9787500e-03,-4.6688,49.708
-2.9762500e-03,9.0880,49.760
-2.9737500e-03,-3.2416,49.766
-2.9712500e-03,-3.6288,49.733
-2.9687500e-03,2.8320,49.731
-2.9662500e-03,1.6848,49.746
-2.9637500e-03,-4.2400,49.720
-2.9612500e-03,0.6896,49.722
-2.9587500e-03,0.9952,49.723
-2.9562500e-03,-0.6400,49.731
-2.9537500e-03,-0.2096,49.728
-2.9512500e-03,3.2864,49.731
-2.9487500e-03,-0.9760,49.715
-2.9462500e-03,-0.8768,49.721
-2.9437500e-03,-0.6672,49.716
-2.9412500e-03,0.6928,49.731
-2.9387500e-03,0.1776,49.732
-2.9362500e-03,-2.0672,49.738
-2.9337500e-03,-1.1232,49.716
-2.9312500e-03,1.0112,49.732
-2.9287500e-03,1.9664,49.720
-2.9262500e-03,-1.4448,49.772
-2.9237500e-03,-3.2816,49.728
-2.9212500e-03,8.4464,49.751
-2.9187500e-03,1.9584,49.769
-2.9162500e-03,-4.9424,49.746
-2.9137500e-03,1.0096,49.722
-2.9112500e-03,-0.5504,49.726
-2.9087500e-03,0.3664,49.731
-2.9062500e-03,-1.8304,49.705
-2.9037500e-03,0.5392,49.716
-2.9012500e-03,-0.7248,49.722
-2.8987500e-03,3.5856,49.713
-2.8962500e-03,0.6528,49.722
-2.8937500e-03,-2.8816,49.724
-2.8912500e-03,-1.4048,49.725
-2.8887500e-03,6.7136,49.738
-2.8862500e-03,-7.2112,49.725
-2.8837500e-03,-0.9376,49.718
-2.8812500e-03,1.1936,49.714
-2.8787500e-03,2.9728,49.725
-2.8762500e-03,-6.8992,49.722
-2.8737500e-03,8.4592,49.758
-2.8712500e-03,1.0608,49.751
-2.8687500e-03,-4.2128,49.736
-2.8662500e-03,-0.4000,49.733
-2.8637500e-03,3.8304,49.744
-2.8612500e-03,-5.1968,49.742
-2.8587500e-03,1.0208,49.720
-2.8562500e-03,0.4160,49.724
-2.8537500e-03,0.1776,49.726
-2.8512500e-03,-2.4512,49.720
-2.8487500e-03,7.7056,49.744
-2.8462500e-03,-2.6944,49.739
-2.8437500e-03,-3.2208,49.715
-2.8412500e-03,1.7024,49.721
-2.8387500e-03,2.6848,49.730
-2.8362500e-03,-3.2112,49.711
-2.8337500e-03,-1.4400,49.730
-2.8312500e-03,0.1888,49.723
-2.8287500e-03,0.9792,49.731
-2.8262500e-03,1.3856,49.719
-2.8237500e-03,2.7696,49.764
-2.8212500e-03,-6.7936,49.741
-2.8187500e-03,4.9856,49.742
-2.8162500e-03,5.4336,49.756
-2.8137500e-03,-3.5840,49.740
-2.8112500e-03,-2.3024,49.720
-2.8087500e-03,-0.0672,49.723
-2.8062500e-03,2.2528,49.726
-2.8037500e-03,-2.0832,49.722
-2.8012500e-03,-0.0336,49.723
-2.7987500e-03,-2.0160,49.739
-2.7962500e-03,2.6608,49.719
-2.7937500e-03,4.9408,49.748
-2.7912500e-03,-1.5616,49.714
-2.7887500e-03,-4.3936,49.723
-2.7862500e-03,5.2640,49.712
-2.7837500e-03,-3.2352,49.723
-2.7812500e-03,-1.4416,49.718
-2.7787500e-03,-1.4832,49.719
-2.7762500e-03,4.0032,49.729
-2.7737500e-03,-5.1104,49.731
-2.7712500e-03,4.4400,49.727
-2.7687500e-03,2.9984,49.749
-2.7662500e-03,-1.4288,49.734
-2.7637500e-03,-2.8992,49.731
-2.7612500e-03,4.2016,49.729
-2.7587500e-03,-5.5072,49.719
-2.7562500e-03,0.8624,49.715
-2.7537500e-03,0.6496,49.712
-2.7512500e-03,0.6368,49.726
-2.7487500e-03,-5.9536,49.716
-2.7462500e-03,12.1840,49.757
-2.7437500e-03,-0.5664,49.772
-2.7412500e-03,-6.7040,49.725
-2.7387500e-03,1.1680,49.722
-2.7362500e-03,5.3648,49.745
-2.7337500e-03,-3.9120,49.742
-2.7312500e-03,-1.8320,49.724
-2.7287500e-03,-0.1216,49.717
-2.7262500e-03,1.4112,49.726
-2.7237500e-03,0.9088,49.725
-2.7212500e-03,1.4464,49.718
-2.7187500e-03,-1.8064,49.711
-2.7162500e-03,-0.4736,49.704
-2.7137500e-03,2.2112,49.711
-2.7112500e-03,-1.1872,49.723
-2.7087500e-03,-1.9360,49.716
-2.7062500e-03,-0.8816,49.725
-2.7037500e-03,2.2848,49.716
-2.7012500e-03,-1.6112,49.720
-2.6987500e-03,0.7552,49.711
-2.6962500e-03,0.5376,49.772
-2.6937500e-03,-2.5344,49.726
-2.6912500e-03,4.8032,49.740
-2.6887500e-03,2.2976,49.747
-2.6862500e-03,-4.8720,49.728
-2.6837500e-03,2.2944,49.719
-2.6812500e-03,-1.1312,49.722
-2.6787500e-03,-0.4928,49.725
-2.6762500e-03,-2.5424,49.720
-2.6737500e-03,3.5872,49.720
-2.6712500e-03,-1.2816,49.731
-2.6687500e-03,1.6096,49.721
-2.6662500e-03,0.3296,49.714
-2.6637500e-03,0.4560,49.714
-2.6612500e-03,-1.7232,49.730
-2.6587500e-03,4.0448,49.730
