t_s,i_A,v_bank_V
-3.4987500e-03,-1.9488,49.778
-3.4962500e-03,2.9936,49.804
-3.4937500e-03,-2.4624,49.779
-3.4912500e-03,2.1536,49.773
-3.4887500e-03,-0.1488,49.758
-3.4862500e-03,2.8368,49.786
-3.4837500e-03,-6.7984,49.774
-3.4812500e-03,7.1344,49.801
-3.4787500e-03,3.1024,49.785
-3.4762500e-03,-2.6864,49.770
-3.4737500e-03,-0.6096,49.784
-3.4712500e-03,10.6192,49.817
-3.4687500e-03,-6.4992,49.776
-3.4662500e-03,-2.0368,49.782
-3.4637500e-03,4.9648,49.806
-3.4612500e-03,2.4448,49.799
-3.4587500e-03,-2.9072,49.767
-3.4562500e-03,1.2992,49.803
-3.4537500e-03,1.0352,49.782
-3.4512500e-03,-0.3648,49.766
-3.4487500e-03,2.0560,49.768
-3.4462500e-03,2.5168,49.786
-3.4437500e-03,-2.7024,49.768
-3.4412500e-03,1.4464,49.788
-3.4387500e-03,4.7520,49.795
-3.4362500e-03,-1.0576,49.776
-3.4337500e-03,-0.0320,49.787
-3.4312500e-03,-1.2432,49.787
-3.4287500e-03,3.9584,49.785
-3.4262500e-03,-2.8176,49.775
-3.4237500e-03,3.3984,49.792
-3.4212500e-03,-3.9344,49.773
-3.4187500e-03,1.5744,49.751
-3.4162500e-03,9.5648,49.806
-3.4137500e-03,0.2624,49.802
-3.4112500e-03,-8.0624,49.762
-3.4087500e-03,9.3680,49.793
-3.4062500e-03,-0.6192,49.788
-3.4037500e-03,-1.0720,49.774
-3.4012500e-03,-2.4352,49.776
-3.3987500e-03,5.6272,49.776
-3.3962500e-03,-4.0896,49.769
-3.3937500e-03,3.9440,49.802
-3.3912500e-03,2.5664,49.805
-3.3887500e-03,-0.0624,49.786
-3.3862500e-03,-1.9472,49.782
-3.3837500e-03,6.7632,49.795
-3.3812500e-03,-6.0128,49.780
-3.3787500e-03,1.5840,49.780
-3.3762500e-03,1.6256,49.776
-3.3737500e-03,1.8496,49.792
-3.3712500e-03,-6.3936,49.764
-3.3687500e-03,10.8272,49.815
-3.3662500e-03,5.4992,49.812
-3.3637500e-03,-7.2224,49.759
-3.3612500e-03,-0.4416,49.776
-3.3587500e-03,7.8640,49.815
-3.3562500e-03,-3.0064,49.757
-3.3537500e-03,-0.9536,49.770
-3.3512500e-03,1.6144,49.775
-3.3487500e-03,0.6608,49.789
-3.3462500e-03,0.8512,49.783
-3.3437500e-03,5.5568,49.802
-3.3412500e-03,-1.2224,49.780
-3.3387500e-03,-4.8928,49.780
-3.3362500e-03,5.4528,49.781
-3.3337500e-03,2.8320,49.790
-3.3312500e-03,-3.6592,49.765
-3.3287500e-03,-1.0960,49.795
-3.3262500e-03,6.3216,49.797
-3.3237500e-03,-1.8624,49.777
-3.3212500e-03,1.8336,49.780
-3.3187500e-03,5.2720,49.815
-3.3162500e-03,-7.0240,49.750
-3.3137500e-03,3.6336,49.785
-3.3112500e-03,8.2288,49.820
-3.3087500e-03,-4.6736,49.790
-3.3062500e-03,-0.6608,49.768
-3.3037500e-03,4.0368,49.798
-3.3012500e-03,1.4416,49.794
-3.2987500e-03,-3.2320,49.785
-3.2962500e-03,2.7216,49.784
-3.2937500e-03,2.4192,49.810
-3.2912500e-03,-1.8432,49.768
-3.2887500e-03,1.6384,49.788
-3.2862500e-03,3.4000,49.780
-3.2837500e-03,-0.7136,49.791
-3.2812500e-03,2.7216,49.810
-3.2787500e-03,-3.4368,49.788
-3.2762500e-03,1.0880,49.794
-3.2737500e-03,0.9936,49.781
-3.2712500e-03,2.8576,49.791
-3.2687500e-03,-4.9520,49.795
-3.2662500e-03,1.5088,49.782
-3.2637500e-03,15.6224,49.827
-3.2612500e-03,-1.0816,49.790
-3.2587500e-03,-6.5344,49.755
-3.2562500e-03,6.0064,49.805
-3.2537500e-03,2.9152,49.792
-3.2512500e-03,-1.9104,49.784
-3.2487500e-03,-1.0848,49.774
-3.2462500e-03,1.3936,49.797
-3.2437500e-03,0.1440,49.781
-3.2412500e-03,3.7152,49.794
-3.2387500e-03,2.8208,49.793
-3.2362500e-03,-4.2608,49.769
-3.2337500e-03,1.1216,49.772
-3.2312500e-03,7.2928,49.794
-3.2287500e-03,-6.4176,49.778
-3.2262500e-03,-0.2688,49.767
-3.2237500e-03,4.1552,49.793
-3.2212500e-03,1.3936,49.794
-3.2187500e-03,-4.3088,49.776
-3.2162500e-03,8.9936,49.806
-3.2137500e-03,0.7472,49.795
-3.2112500e-03,-5.7584,49.762
-3.2087500e-03,3.0752,49.803
-3.2062500e-03,3.7616,49.813
-3.2037500e-03,-4.4048,49.778
-3.2012500e-03,2.4208,49.785
-3.1987500e-03,2.3136,49.781
-3.1962500e-03,-0.7152,49.775
-3.1937500e-03,-0.2592,49.796
-3.1912500e-03,5.8672,49.792
-3.1887500e-03,-1.1120,49.769
-3.1862500e-03,-2.5072,49.768
-3.1837500e-03,1.3680,49.789
-3.1812500e-03,4.0128,49.795
-3.1787500e-03,-4.0128,49.771
-3.1762500e-03,1.9680,49.787
-3.1737500e-03,0.1984,49.791
-3.1712500e-03,0.9152,49.770
-3.1687500e-03,2.7248,49.784
-3.1662500e-03,3.3984,49.808
-3.1637500e-03,-8.6544,49.753
-3.1612500e-03,7.2944,49.791
-3.1587500e-03,6.4512,49.795
-3.1562500e-03,-2.9744,49.777
-3.1537500e-03,-3.6224,49.764
-3.1512500e-03,5.5856,49.794
-3.1487500e-03,0.9824,49.769
-3.1462500e-03,-1.4656,49.775
-3.1437500e-03,-0.1760,49.784
-3.1412500e-03,2.2240,49.803
-3.1387500e-03,-2.1968,49.767
-3.1362500e-03,6.5232,49.788
-3.1337500e-03,0.3296,49.818
-3.1312500e-03,-3.0208,49.780
-3.1287500e-03,4.1680,49.789
-3.1262500e-03,-1.2416,49.801
-3.1237500e-03,-0.7408,49.789
-3.1212500e-03,-0.5504,49.776
-3.1187500e-03,4.9184,49.793
-3.1162500e-03,-3.6880,49.769
-3.1137500e-03,0.7152,49.769
-3.1112500e-03,6.9776,49.808
-3.1087500e-03,1.2928,49.784
-3.1062500e-03,-4.0320,49.783
-3.1037500e-03,4.5392,49.799
-3.1012500e-03,-2.8608,49.780
-3.0987500e-03,1.9568,49.793
-3.0962500e-03,0.1872,49.787
-3.0937500e-03,1.7168,49.783
-3.0912500e-03,-6.8656,49.761
-3.0887500e-03,11.6496,49.795
-3.0862500e-03,4.7088,49.808
-3.0837500e-03,-5.0912,49.764
-3.0812500e-03,-3.8304,49.765
-3.0787500e-03,12.1840,49.800
-3.0762500e-03,-5.1136,49.775
-3.0737500e-03,-0.1488,49.796
-3.0712500e-03,-0.7152,49.802
-3.0687500e-03,4.1264,49.785
-3.0662500e-03,-2.2112,49.782
-3.0637500e-03,10.5136,49.819
-3.0612500e-03,-6.0032,49.800
-3.0587500e-03,-2.6352,49.764
-3.0562500e-03,5.9728,49.798
-3.0537500e-03,3.9984,49.802
-3.0512500e-03,-7.4864,49.760
-3.0487500e-03,3.9104,49.797
-3.0462500e-03,3.7312,49.784
-3.0437500e-03,-0.0272,49.790
-3.0412500e-03,-1.8432,49.791
-3.0387500e-03,8.6960,49.820
-3.0362500e-03,-6.0560,49.781
-3.0337500e-03,0.4032,49.774
-3.0312500e-03,3.2480,49.806
-3.0287500e-03,1.1888,49.810
-3.0262500e-03,-1.5376,49.782
-3.0237500e-03,1.9200,49.783
-3.0212500e-03,1.0016,49.787
-3.0187500e-03,-2.6624,49.788
-3.0162500e-03,3.9808,49.776
