t_s,i_A,v_bank_V
-3.4987500e-03,5.6272,49.000
-3.4962500e-03,1.0096,48.990
-3.4937500e-03,1.8736,48.991
-3.4912500e-03,1.2160,48.989
-3.4887500e-03,0.3888,48.987
-3.4862500e-03,3.0368,49.001
-3.4837500e-03,0.7728,48.995
-3.4812500e-03,-2.0256,48.981
-3.4787500e-03,4.7840,48.999
-3.4762500e-03,3.3920,48.982
-3.4737500e-03,-1.6128,48.977
-3.4712500e-03,3.1696,49.003
-3.4687500e-03,8.9136,49.010
-3.4662500e-03,-10.0768,48.951
-3.4637500e-03,4.1472,48.992
-3.4612500e-03,9.0464,49.019
-3.4587500e-03,-0.4096,48.996
-3.4562500e-03,-2.3824,48.980
-3.4537500e-03,2.0624,49.000
-3.4512500e-03,3.4256,49.007
-3.4487500e-03,0.6816,48.982
-3.4462500e-03,1.9648,48.988
-3.4437500e-03,1.4624,48.996
-3.4412500e-03,-0.1024,48.984
-3.4387500e-03,5.6304,49.003
-3.4362500e-03,2.3952,48.989
-3.4337500e-03,-1.4672,48.988
-3.4312500e-03,3.3264,48.991
-3.4287500e-03,-0.0144,49.001
-3.4262500e-03,2.3504,48.987
-3.4237500e-03,0.6192,49.007
-3.4212500e-03,2.9216,48.995
-3.4187500e-03,-5.1456,48.990
-3.4162500e-03,6.4704,49.005
-3.4137500e-03,14.0656,49.034
-3.4112500e-03,-7.1568,49.017
-3.4087500e-03,-5.0016,48.976
-3.4062500e-03,11.4832,49.028
-3.4037500e-03,0.7104,49.013
-3.4012500e-03,-3.6704,48.989
-3.3987500e-03,0.7936,48.986
-3.3962500e-03,6.8784,49.003
-3.3937500e-03,-1.3840,48.983
-3.3912500e-03,4.0880,48.985
-3.3887500e-03,3.1744,49.005
-3.3862500e-03,-0.6688,48.977
-3.3837500e-03,0.2736,48.988
-3.3812500e-03,5.3712,49.009
-3.3787500e-03,-5.1200,48.973
-3.3762500e-03,4.7584,49.002
-3.3737500e-03,3.1184,49.004
-3.3712500e-03,1.0336,48.982
-3.3687500e-03,-1.3312,48.980
-3.3662500e-03,15.3408,49.022
-3.3637500e-03,-5.2512,48.996
-3.3612500e-03,-8.5424,48.963
-3.3587500e-03,8.2672,49.009
-3.3562500e-03,8.1872,49.007
-3.3537500e-03,-5.9920,48.976
-3.3512500e-03,-0.1712,49.007
-3.3487500e-03,5.0432,49.018
-3.3462500e-03,4.1680,49.002
-3.3437500e-03,0.1360,48.993
-3.3412500e-03,5.9280,49.020
-3.3387500e-03,-6.7392,48.992
-3.3362500e-03,4.0656,49.000
-3.3337500e-03,7.7648,49.005
-3.3312500e-03,-0.0880,48.997
-3.3287500e-03,-4.8128,48.976
-3.3262500e-03,4.7440,49.004
-3.3237500e-03,3.4000,48.990
-3.3212500e-03,0.4384,48.985
-3.3187500e-03,0.3808,48.990
-3.3162500e-03,3.5264,49.018
-3.3137500e-03,-4.6400,48.980
-3.3112500e-03,11.5136,49.020
-3.3087500e-03,4.2496,49.025
-3.3062500e-03,-5.8928,48.980
-3.3037500e-03,3.2528,49.003
-3.3012500e-03,3.6080,49.000
-3.2987500e-03,1.0864,48.998
-3.2962500e-03,-2.4000,48.984
-3.2937500e-03,4.4144,48.994
-3.2912500e-03,-2.3600,48.996
-3.2887500e-03,4.0176,48.999
-3.2862500e-03,10.1488,49.028
-3.2837500e-03,-1.8880,48.991
-3.2812500e-03,-4.2480,48.976
-3.2787500e-03,8.0688,48.991
-3.2762500e-03,-2.1504,48.982
-3.2737500e-03,0.2560,48.988
-3.2712500e-03,2.3680,48.987
-3.2687500e-03,3.5616,48.975
-3.2662500e-03,-3.8720,48.988
-3.2637500e-03,8.9632,49.010
-3.2612500e-03,4.0960,49.024
-3.2587500e-03,-3.0480,48.982
-3.2562500e-03,-1.7296,48.974
-3.2537500e-03,8.8224,49.007
-3.2512500e-03,-3.5600,48.985
-3.2487500e-03,1.7984,49.003
-3.2462500e-03,1.0080,48.991
-3.2437500e-03,4.3008,48.996
-3.2412500e-03,-0.4256,48.974
-3.2387500e-03,13.4736,49.018
-3.2362500e-03,-7.7200,48.991
-3.2337500e-03,-5.4896,48.975
-3.2312500e-03,9.8320,48.996
-3.2287500e-03,6.2048,49.016
-3.2262500e-03,-8.5776,48.971
-3.2237500e-03,1.9440,48.995
-3.2212500e-03,8.3872,49.010
-3.2187500e-03,1.9088,49.006
-3.2162500e-03,-1.7296,48.980
-3.2137500e-03,4.2976,48.982
-3.2112500e-03,0.5072,48.993
-3.2087500e-03,2.2512,49.011
-3.2062500e-03,1.6592,48.993
-3.2037500e-03,-0.0768,48.976
-3.2012500e-03,1.4624,48.984
-3.1987500e-03,3.6976,49.020
-3.1962500e-03,0.9184,48.998
-3.1937500e-03,-1.3152,48.991
-3.1912500e-03,5.2736,49.002
-3.1887500e-03,3.1952,49.021
-3.1862500e-03,-8.0832,48.955
-3.1837500e-03,10.6256,49.018
-3.1812500e-03,8.0864,49.027
-3.1787500e-03,-5.7184,48.992
-3.1762500e-03,-0.3184,48.991
-3.1737500e-03,2.5424,48.998
-3.1712500e-03,5.1936,49.003
-3.1687500e-03,-1.8720,48.980
-3.1662500e-03,2.9520,49.008
-3.1637500e-03,-1.4592,48.996
-3.1612500e-03,5.2352,49.001
-3.1587500e-03,5.1584,49.009
-3.1562500e-03,0.4160,48.998
-3.1537500e-03,-3.8304,48.987
-3.1512500e-03,9.0208,49.002
-3.1487500e-03,-2.7712,48.984
-3.1462500e-03,1.5344,48.995
-3.1437500e-03,0.0864,48.983
-3.1412500e-03,4.8784,49.006
-3.1387500e-03,-6.3968,48.987
-3.1362500e-03,13.9808,49.020
-3.1337500e-03,4.5072,49.020
-3.1312500e-03,-9.7216,48.959
-3.1287500e-03,1.7296,48.973
-3.1262500e-03,10.0784,49.028
-3.1237500e-03,-4.1088,48.978
-3.1212500e-03,-0.7472,48.982
-3.1187500e-03,3.6032,48.997
-3.1162500e-03,5.6192,48.996
-3.1137500e-03,-1.1616,48.992
-3.1112500e-03,4.2960,49.006
-3.1087500e-03,1.5648,48.969
-3.1062500e-03,0.2560,48.980
-3.1037500e-03,0.2032,48.978
-3.1012500e-03,1.7712,49.004
-3.0987500e-03,-0.8464,48.987
-3.0962500e-03,4.6656,49.000
-3.0937500e-03,1.9808,48.985
-3.0912500e-03,-1.2912,49.001
-3.0887500e-03,4.0448,48.990
-3.0862500e-03,11.6528,49.038
-3.0837500e-03,-12.2576,48.962
-3.0812500e-03,-0.0000,48.997
-3.0787500e-03,13.7984,49.024
-3.0762500e-03,0.1488,48.998
-3.0737500e-03,-5.8656,48.970
-3.0712500e-03,1.9008,48.997
-3.0687500e-03,7.0704,48.993
-3.0662500e-03,0.3200,49.001
-3.0637500e-03,0.2544,48.989
-3.0612500e-03,1.0368,48.994
-3.0587500e-03,-1.8400,48.992
-3.0562500e-03,9.1680,49.014
-3.0537500e-03,4.9440,49.022
-3.0512500e-03,-5.7840,48.992
-3.0487500e-03,2.7648,49.005
-3.0462500e-03,3.2880,49.005
-3.0437500e-03,2.3328,49.001
-3.0412500e-03,-2.6000,48.990
-3.0387500e-03,3.5312,48.995
-3.0362500e-03,-2.1808,48.989
-3.0337500e-03,4.0976,49.034
-3.0312500e-03,11.2832,49.034
-3.0287500e-03,-2.4576,48.992
-3.0262500e-03,-6.0064,48.982
-3.0237500e-03,9.0496,48.999
-3.0212500e-03,0.9984,49.020
-3.0187500e-03,-1.9712,48.999
-3.0162500e-03,0.6048,48.974
-3.0137500e-03,5.7024,48.998
-3.0112500e-03,-4.8864,48.979
-3.0087500e-03,8.7104,49.010
-3.0062500e-03,6.9552,49.003
-3.0037500e-03,-5.6176,48.980
-3.0012500e-03,-0.8352,48.996
-2.9987500e-03,7.4928,49.010
-2.9962500e-03,-1.6000,48.995
-2.9937500e-03,0.6976,48.986
-2.9912500e-03,2.1936,49.003
-2.9887500e-03,1.9776,49.011
-2.9862500e-03,0.6128,48.995
-2.9837500e-03,10.0576,49.014
-2.9812500e-03,-1.1808,48.992
-2.9787500e-03,-6.4096,48.949
-2.9762500e-03,4.8016,49.002
-2.9737500e-03,7.3680,49.012
-2.9712500e-03,-4.1184,48.983
-2.9687500e-03,-1.2832,48.999
-2.9662500e-03,5.8896,49.003
-2.9637500e-03,2.8816,48.997
-2.9612500e-03,1.0896,49.010
-2.9587500e-03,5.5488,49.028
-2.9562500e-03,-4.5328,48.980
-2.9537500e-03,1.3600,48.975
-2.9512500e-03,8.0544,49.004
-2.9487500e-03,-0.0896,48.998
-2.9462500e-03,-4.1680,48.982
-2.9437500e-03,4.2048,48.995
-2.9412500e-03,4.9760,49.003
-2.9387500e-03,-1.8528,48.982
-2.9362500e-03,1.3152,48.990
-2.9337500e-03,4.7168,49.011
-2.9312500e-03,-3.4672,48.980
-2.9287500e-03,6.3888,48.997
-2.9262500e-03,3.8704,49.013
-2.9237500e-03,-0.9344,48.983
-2.9212500e-03,0.5936,48.985
-2.9187500e-03,1.2496,49.003
-2.9162500e-03,2.2432,49.001
-2.9137500e-03,0.0640,48.988
-2.9112500e-03,3.8448,48.979
-2.9087500e-03,-1.7616,48.998
-2.9062500e-03,0.6912,48.980
-2.9037500e-03,10.2992,49.016
-2.9012500e-03,1.4768,49.001
-2.8987500e-03,-4.5504,48.982
-2.8962500e-03,4.6816,48.996
-2.8937500e-03,0.8704,49.006
-2.8912500e-03,1.5920,48.996
-2.8887500e-03,-0.0928,48.987
-2.8862500e-03,2.2320,49.009
-2.8837500e-03,-1.8400,48.980
-2.8812500e-03,7.9952,49.009
-2.8787500e-03,5.3744,49.014
-2.8762500e-03,-4.7744,48.991
-2.8737500e-03,-0.2704,48.982
-2.8712500e-03,8.0992,49.012
-2.8687500e-03,-3.1664,48.981
-2.8662500e-03,-0.0720,48.985
-2.8637500e-03,1.7168,48.998
-2.8612500e-03,5.0336,48.996
-2.8587500e-03,-2.4224,48.994
-2.8562500e-03,12.2656,49.028
-2.8537500e-03,-2.8096,49.002
-2.8512500e-03,-6.7488,48.980
-2.8487500e-03,7.0144,49.013
-2.8462500e-03,6.1968,49.007
-2.8437500e-03,-5.9504,48.980
-2.8412500e-03,1.8432,48.989
-2.8387500e-03,5.1536,49.008
-2.8362500e-03,2.3664,49.005
-2.8337500e-03,-1.2752,48.983
-2.8312500e-03,5.8080,48.993
-2.8287500e-03,0.2352,48.996
-2.8262500e-03,0.1712,48.991
-2.8237500e-03,1.8864,49.001
-2.8212500e-03,2.3728,48.996
-2.8187500e-03,-0.2064,48.989
-2.8162500e-03,3.0096,49.020
-2.8137500e-03,0.3648,49.013
-2.8112500e-03,1.6272,48.999
-2.8087500e-03,3.2768,48.994
-2.8062500e-03,4.8704,49.015
-2.8037500e-03,-9.7440,48.960
-2.8012500e-03,11.1216,49.008
-2.7987500e-03,8.5296,49.018
-2.7962500e-03,-4.2800,48.987
-2.7937500e-03,-2.2384,48.980
-2.7912500e-03,4.0576,49.002
-2.7887500e-03,4.3024,49.012
-2.7862500e-03,-2.1088,48.984
-2.7837500e-03,1.0384,48.996
-2.7812500e-03,0.0416,48.999
-2.7787500e-03,3.8176,48.996
-2.7762500e-03,8.2288,49.016
-2.7737500e-03,-0.3808,48.998
-2.7712500e-03,-4.4512,48.986
-2.7687500e-03,8.6112,49.012
-2.7662500e-03,-0.6064,48.994
-2.7637500e-03,-0.4704,49.000
-2.7612500e-03,-0.7792,48.979
-2.7587500e-03,5.3568,49.011
-2.7562500e-03,-5.1552,48.993
-2.7537500e-03,10.5824,48.988
-2.7512500e-03,6.6240,49.024
-2.7487500e-03,-6.4320,48.980
-2.7462500e-03,-1.0544,48.985
-2.7437500e-03,10.5328,49.016
-2.7412500e-03,-4.2064,48.991
-2.7387500e-03,0.2944,48.993
-2.7362500e-03,2.7792,48.998
-2.7337500e-03,4.4176,49.012
-2.7312500e-03,-3.2176,48.977
-2.7287500e-03,8.8288,48.997
-2.7262500e-03,2.8208,49.013
-2.7237500e-03,-4.7568,48.978
-2.7212500e-03,0.9104,48.976
-2.7187500e-03,7.6320,49.021
-2.7162500e-03,-4.2960,48.968
-2.7137500e-03,2.5760,49.004
-2.7112500e-03,2.5712,48.994
-2.7087500e-03,1.8432,48.998
-2.7062500e-03,2.2800,48.995
-2.7037500e-03,10.9264,49.025
-2.7012500e-03,-11.1344,48.960
-2.6987500e-03,0.5232,48.987
-2.6962500e-03,12.0720,49.034
-2.6937500e-03,1.9216,49.005
-2.6912500e-03,-6.9840,48.966
-2.6887500e-03,2.8912,49.003
-2.6862500e-03,6.5744,49.014
-2.6837500e-03,0.6496,48.983
-2.6812500e-03,-0.7904,48.972
-2.6787500e-03,2.2512,48.987
-2.6762500e-03,3.5088,48.979
-2.6737500e-03,1.6128,48.996
-2.6712500e-03,2.8400,48.999
-2.6687500e-03,-1.0064,48.984
-2.6662500e-03,4.0448,48.990
-2.6637500e-03,1.1360,49.004
-2.6612500e-03,0.3424,48.984
-2.6587500e-03,-1.5072,48.981
-2.6562500e-03,6.7280,48.998
-2.6537500e-03,-2.7920,48.988
-2.6512500e-03,-0.0080,48.970
-2.6487500e-03,12.2368,49.006
-2.6462500e-03,2.0576,48.998
-2.6437500e-03,-6.4496,48.971
-2.6412500e-03,6.6160,48.999
-2.6387500e-03,-0.4704,48.996
-2.6362500e-03,1.9232,49.005
-2.6337500e-03,-0.7968,48.984
-2.6312500e-03,4.4816,49.010
-2.6287500e-03,-2.1776,48.990
-2.6262500e-03,6.7856,49.000
-2.6237500e-03,2.6096,49.004
-2.6212500e-03,1.4128,49.004
-2.6187500e-03,-2.9504,48.980
-2.6162500e-03,7.6416,49.018
-2.6137500e-03,-4.4288,48.982
-2.6112500e-03,3.3392,48.994
-2.6087500e-03,1.8320,48.996
-2.6062500e-03,1.9728,48.981
-2.6037500e-03,-2.9840,48.976
-2.6012500e-03,14.7168,49.020
-2.5987500e-03,-1.4048,49.002
-2.5962500e-03,-9.1008,48.961
-2.5937500e-03,6.5504,49.005
-2.5912500e-03,9.6960,49.027
-2.5887500e-03,-6.3456,48.976
-2.5862500e-03,-1.0096,48.996
-2.5837500e-03,6.2640,48.983
-2.5812500e-03,4.0688,48.993
-2.5787500e-03,-0.8832,48.993
-2.5762500e-03,2.9568,48.996
-2.5737500e-03,1.0224,48.986
-2.5712500e-03,2.6672,48.983
-2.5687500e-03,1.3696,48.987
-2.5662500e-03,-0.1392,49.000
-2.5637500e-03,0.7424,48.995
-2.5612500e-03,4.7536,49.019
-2.5587500e-03,1.6800,49.001
-2.5562500e-03,-2.9216,48.987
-2.5537500e-03,4.7088,48.996
-2.5512500e-03,7.4800,49.027
-2.5487500e-03,-9.7536,48.952
-2.5462500e-03,6.3648,48.997
-2.5437500e-03,11.2640,49.024
-2.5412500e-03,-2.5904,48.992
-2.5387500e-03,-2.1744,48.971
-2.5362500e-03,1.6064,48.996
-2.5337500e-03,4.9472,49.018
-2.5312500e-03,-0.6240,48.986
-2.5287500e-03,2.0064,48.996
-2.5262500e-03,-2.3472,48.999
-2.5237500e-03,0.7648,48.982
-2.5212500e-03,13.7776,49.021
-2.5187500e-03,0.2560,49.007
-2.5162500e-03,-6.4480,48.967
-2.5137500e-03,6.7280,48.991
-2.5112500e-03,2.1920,49.016
-2.5087500e-03,0.7008,49.022
-2.5062500e-03,-1.9152,48.984
-2.5037500e-03,3.9312,48.991
-2.5012500e-03,-4.1248,48.992
-2.4987500e-03,10.3152,49.004
-2.4962500e-03,7.9920,49.029
-2.4937500e-03,-7.5344,48.989
-2.4912500e-03,-0.9120,48.962
-2.4887500e-03,11.0112,49.008
-2.4862500e-03,-2.7632,48.974
-2.4837500e-03,-2.7952,48.984
-2.4812500e-03,3.0832,48.989
-2.4787500e-03,6.0176,48.999
-2.4762500e-03,-2.8976,48.981
-2.4737500e-03,8.3920,49.016
-2.4712500e-03,0.9744,48.999
-2.4687500e-03,-5.2288,48.971
-2.4662500e-03,4.8640,48.997
-2.4637500e-03,5.5584,49.017
-2.4612500e-03,-4.1872,48.962
-2.4587500e-03,1.9424,49.002
-2.4562500e-03,4.7232,48.987
-2.4537500e-03,0.2464,48.984
-2.4512500e-03,1.7648,48.989
-2.4487500e-03,11.5472,49.017
-2.4462500e-03,-9.0752,48.971
-2.4437500e-03,-3.5184,48.984
-2.4412500e-03,11.7056,49.018
-2.4387500e-03,4.1120,49.000
-2.4362500e-03,-5.8720,48.990
-2.4337500e-03,1.1152,48.988
-2.4312500e-03,5.9904,48.997
-2.4287500e-03,1.7248,48.987
-2.4262500e-03,0.9824,48.996
-2.4237500e-03,2.3632,48.996
-2.4212500e-03,-3.1008,48.966
-2.4187500e-03,6.5072,48.994
-2.4162500e-03,5.5376,48.989
-2.4137500e-03,-3.1232,48.975
-2.4112500e-03,0.5760,48.976
-2.4087500e-03,4.5888,49.004
-2.4062500e-03,1.9072,48.991
-2.4037500e-03,-1.9520,48.983
-2.4012500e-03,3.4880,48.988
-2.3987500e-03,-0.3984,48.995
-2.3962500e-03,-1.2480,48.975
-2.3937500e-03,13.8432,49.018
-2.3912500e-03,0.3904,49.005
-2.3887500e-03,-5.4016,48.961
-2.3862500e-03,6.7744,48.989
-2.3837500e-03,2.0352,48.999
-2.3812500e-03,-1.4608,48.989
-2.3787500e-03,-0.0448,48.992
-2.3762500e-03,5.2016,49.006
-2.3737500e-03,-0.9488,48.989
-2.3712500e-03,2.8352,48.983
-2.3687500e-03,6.3984,49.009
-2.3662500e-03,-0.6352,48.983
-2.3637500e-03,-1.4688,48.978
-2.3612500e-03,7.9792,49.012
-2.3587500e-03,-4.4912,48.975
-2.3562500e-03,2.0592,49.003
-2.3537500e-03,3.4640,48.991
