t_s,i_A,v_bank_V
-3.4987500e-03,11.3840,49.836
-3.4962500e-03,-0.0608,49.809
-3.4937500e-03,-7.1728,49.774
-3.4912500e-03,7.7120,49.815
-3.4887500e-03,-3.1152,49.798
-3.4862500e-03,0.4096,49.798
-3.4837500e-03,-0.7280,49.787
-3.4812500e-03,3.3776,49.792
-3.4787500e-03,-4.9200,49.783
-3.4762500e-03,7.5232,49.810
-3.4737500e-03,3.5952,49.819
-3.4712500e-03,-2.6880,49.782
-3.4687500e-03,-2.9312,49.780
-3.4662500e-03,6.9712,49.828
-3.4637500e-03,-4.9232,49.755
-3.4612500e-03,1.3248,49.795
-3.4587500e-03,0.8432,49.793
-3.4562500e-03,0.6528,49.794
-3.4537500e-03,-2.2112,49.783
-3.4512500e-03,16.0560,49.855
-3.4487500e-03,-4.1184,49.823
-3.4462500e-03,-9.6560,49.769
-3.4437500e-03,9.2080,49.808
-3.4412500e-03,7.1296,49.833
-3.4387500e-03,-6.5040,49.777
-3.4362500e-03,-2.0992,49.816
-3.4337500e-03,6.2112,49.809
-3.4312500e-03,1.9840,49.807
-3.4287500e-03,-0.7616,49.788
-3.4262500e-03,5.6752,49.822
-3.4237500e-03,-5.0256,49.784
-3.4212500e-03,0.0128,49.784
-3.4187500e-03,8.1680,49.813
-3.4162500e-03,-1.8768,49.799
-3.4137500e-03,-2.4512,49.763
-3.4112500e-03,1.6784,49.801
-3.4087500e-03,2.8448,49.808
-3.4062500e-03,-2.4320,49.811
-3.4037500e-03,2.0400,49.795
-3.4012500e-03,4.3328,49.821
-3.3987500e-03,-7.3072,49.766
-3.3962500e-03,8.3120,49.833
-3.3937500e-03,7.9488,49.827
-3.3912500e-03,-4.3168,49.775
-3.3887500e-03,-0.5312,49.774
-3.3862500e-03,0.3056,49.804
-3.3837500e-03,1.8976,49.805
-3.3812500e-03,-0.8992,49.797
-3.3787500e-03,1.9344,49.796
-3.3762500e-03,-2.3584,49.790
-3.3737500e-03,2.6160,49.796
-3.3712500e-03,5.9168,49.800
-3.3687500e-03,-0.0800,49.803
-3.3662500e-03,-3.3168,49.780
-3.3637500e-03,5.3408,49.811
-3.3612500e-03,-2.6640,49.779
-3.3587500e-03,0.2304,49.785
-3.3562500e-03,0.3952,49.796
-3.3537500e-03,1.2992,49.801
-3.3512500e-03,-2.8752,49.785
-3.3487500e-03,6.6960,49.809
-3.3462500e-03,4.7216,49.808
-3.3437500e-03,-5.2832,49.786
-3.3412500e-03,-0.3408,49.785
-3.3387500e-03,7.6816,49.802
-3.3362500e-03,-5.1680,49.778
-3.3337500e-03,-1.4656,49.805
-3.3312500e-03,3.7216,49.797
-3.3287500e-03,2.3648,49.809
-3.3262500e-03,-4.0992,49.783
-3.3237500e-03,11.4640,49.825
-3.3212500e-03,-0.0752,49.800
-3.3187500e-03,-7.5040,49.760
-3.3162500e-03,3.8272,49.787
-3.3137500e-03,5.3216,49.821
-3.3112500e-03,-5.1344,49.769
-3.3087500e-03,0.9936,49.794
-3.3062500e-03,2.8272,49.784
-3.3037500e-03,0.2592,49.802
-3.3012500e-03,0.0336,49.792
-3.2987500e-03,5.4688,49.816
-3.2962500e-03,-1.6704,49.775
-3.2937500e-03,-1.7888,49.773
-3.2912500e-03,1.8048,49.789
-3.2887500e-03,2.6304,49.800
-3.2862500e-03,-2.7968,49.790
-3.2837500e-03,1.8176,49.814
-3.2812500e-03,-0.2288,49.791
-3.2787500e-03,0.8240,49.790
-3.2762500e-03,2.5232,49.795
-3.2737500e-03,5.2032,49.833
-3.2712500e-03,-10.5872,49.759
-3.2687500e-03,11.6384,49.819
-3.2662500e-03,9.0432,49.843
-3.2637500e-03,-4.4336,49.784
-3.2612500e-03,-3.4400,49.772
-3.2587500e-03,3.9264,49.797
-3.2562500e-03,2.2928,49.793
-3.2537500e-03,-2.0064,49.779
-3.2512500e-03,-0.4928,49.797
-3.2487500e-03,1.4608,49.788
-3.2462500e-03,2.8352,49.786
-3.2437500e-03,2.3280,49.800
-3.2412500e-03,-2.6000,49.786
-3.2387500e-03,-0.6912,49.793
-3.2362500e-03,8.3008,49.812
-3.2337500e-03,-5.3264,49.794
-3.2312500e-03,-1.9136,49.781
-3.2287500e-03,2.0752,49.806
-3.2262500e-03,5.0560,49.808
-3.2237500e-03,-9.1024,49.773
-3.2212500e-03,9.6752,49.837
-3.2187500e-03,9.7344,49.846
-3.2162500e-03,-5.9088,49.787
-3.2137500e-03,-4.1088,49.772
-3.2112500e-03,9.0208,49.816
-3.2087500e-03,-4.6240,49.796
-3.2062500e-03,0.6224,49.794
-3.2037500e-03,0.1648,49.798
-3.2012500e-03,2.6192,49.777
-3.1987500e-03,-4.5472,49.778
-3.1962500e-03,11.6720,49.825
-3.1937500e-03,1.0192,49.797
-3.1912500e-03,-5.6800,49.776
-3.1887500e-03,-0.7264,49.795
-3.1862500e-03,8.9232,49.828
-3.1837500e-03,-5.5712,49.781
-3.1812500e-03,0.8112,49.803
-3.1787500e-03,0.0784,49.801
-3.1762500e-03,2.9264,49.789
-3.1737500e-03,0.8496,49.801
-3.1712500e-03,12.7904,49.826
-3.1687500e-03,-11.7712,49.791
-3.1662500e-03,-1.1424,49.748
-3.1637500e-03,11.4800,49.817
-3.1612500e-03,2.8752,49.808
-3.1587500e-03,-7.6528,49.777
-3.1562500e-03,1.5712,49.799
-3.1537500e-03,5.2832,49.808
-3.1512500e-03,0.3056,49.791
-3.1487500e-03,-1.4704,49.798
-3.1462500e-03,2.2016,49.810
-3.1437500e-03,0.2912,49.800
-3.1412500e-03,2.2608,49.798
-3.1387500e-03,1.3264,49.793
-3.1362500e-03,-1.7680,49.792
-3.1337500e-03,2.6336,49.804
-3.1312500e-03,0.1856,49.796
-3.1287500e-03,-0.2160,49.793
