t_s,i_A,v_bank_V
-3.4987500e-03,9.3568,49.832
-3.4962500e-03,-12.7232,49.757
-3.4937500e-03,3.9120,49.773
-3.4912500e-03,11.7536,49.836
-3.4887500e-03,-0.2896,49.808
-3.4862500e-03,-7.7664,49.761
-3.4837500e-03,4.0096,49.793
-3.4812500e-03,5.5200,49.814
-3.4787500e-03,-1.9808,49.796
-3.4762500e-03,-1.8304,49.789
-3.4737500e-03,2.7648,49.792
-3.4712500e-03,1.0864,49.773
-3.4687500e-03,1.2784,49.788
-3.4662500e-03,0.2864,49.801
-3.4637500e-03,-1.3104,49.783
-3.4612500e-03,4.0848,49.779
-3.4587500e-03,-1.2320,49.798
-3.4562500e-03,-1.9440,49.781
-3.4537500e-03,-0.5056,49.789
-3.4512500e-03,6.2224,49.807
-3.4487500e-03,-6.0832,49.790
-3.4462500e-03,1.5248,49.786
-3.4437500e-03,13.0848,49.832
-3.4412500e-03,1.8272,49.813
-3.4387500e-03,-7.2032,49.768
-3.4362500e-03,4.5472,49.803
-3.4337500e-03,-1.7408,49.830
-3.4312500e-03,1.8048,49.805
-3.4287500e-03,-1.3760,49.783
-3.4262500e-03,1.4320,49.808
-3.4237500e-03,-4.9936,49.775
-3.4212500e-03,9.1456,49.819
-3.4187500e-03,3.8912,49.810
-3.4162500e-03,-3.4176,49.764
-3.4137500e-03,-3.8432,49.780
-3.4112500e-03,8.0160,49.812
-3.4087500e-03,-5.1184,49.778
-3.4062500e-03,0.9984,49.789
-3.4037500e-03,0.4288,49.790
-3.4012500e-03,0.9840,49.800
-3.3987500e-03,-2.6112,49.776
-3.3962500e-03,16.1440,49.835
-3.3937500e-03,-3.5872,49.795
-3.3912500e-03,-10.3712,49.757
-3.3887500e-03,8.4784,49.806
-3.3862500e-03,7.4816,49.828
-3.3837500e-03,-6.2368,49.771
-3.3812500e-03,-3.0928,49.793
-3.3787500e-03,5.9728,49.780
-3.3762500e-03,2.2224,49.801
-3.3737500e-03,-0.5248,49.774
-3.3712500e-03,0.3552,49.794
-3.3687500e-03,0.5872,49.790
-3.3662500e-03,0.2880,49.784
-3.3637500e-03,1.4576,49.792
-3.3612500e-03,-2.3312,49.800
-3.3587500e-03,0.6864,49.786
-3.3562500e-03,2.9136,49.808
-3.3537500e-03,-0.1888,49.778
-3.3512500e-03,-2.8160,49.777
-3.3487500e-03,4.0368,49.782
-3.3462500e-03,3.1440,49.807
-3.3437500e-03,-5.9680,49.754
-3.3412500e-03,5.5232,49.801
-3.3387500e-03,6.9616,49.823
-3.3362500e-03,-3.1968,49.788
-3.3337500e-03,-0.2080,49.774
-3.3312500e-03,-1.0672,49.792
-3.3287500e-03,1.4672,49.799
-3.3262500e-03,-0.3664,49.782
-3.3237500e-03,2.2880,49.798
-3.3212500e-03,-3.8640,49.787
-3.3187500e-03,2.3472,49.787
-3.3162500e-03,7.3632,49.810
-3.3137500e-03,0.0192,49.792
-3.3112500e-03,-4.5424,49.753
-3.3087500e-03,5.0672,49.802
-3.3062500e-03,-2.1888,49.791
-3.3037500e-03,0.1296,49.792
-3.3012500e-03,-0.0096,49.788
-3.2987500e-03,0.8240,49.813
-3.2962500e-03,-3.8896,49.768
-3.2937500e-03,8.7712,49.822
-3.2912500e-03,5.3744,49.804
-3.2887500e-03,-7.5648,49.779
-3.2862500e-03,-0.2752,49.783
-3.2837500e-03,8.0288,49.820
-3.2812500e-03,-4.7504,49.774
-3.2787500e-03,-2.3120,49.799
-3.2762500e-03,3.5104,49.788
-3.2737500e-03,2.3520,49.786
-3.2712500e-03,-3.5744,49.778
-3.2687500e-03,12.1136,49.808
-3.2662500e-03,-2.2752,49.799
-3.2637500e-03,-7.8448,49.765
-3.2612500e-03,5.6016,49.792
-3.2587500e-03,4.5104,49.806
-3.2562500e-03,-5.2352,49.772
-3.2537500e-03,0.7520,49.797
-3.2512500e-03,3.1728,49.802
-3.2487500e-03,-0.1248,49.796
-3.2462500e-03,-0.0192,49.778
-3.2437500e-03,7.1040,49.806
-3.2412500e-03,-4.9104,49.769
-3.2387500e-03,-1.6720,49.780
