t_s,i_A,v_bank_V
-3.4987500e-03,6.0112,49.813
-3.4962500e-03,4.4608,49.812
-3.4937500e-03,-3.3264,49.788
-3.4912500e-03,0.5856,49.774
-3.4887500e-03,-0.1104,49.798
-3.4862500e-03,1.6736,49.802
-3.4837500e-03,-0.7296,49.791
-3.4812500e-03,1.9152,49.801
-3.4787500e-03,-5.1712,49.785
-3.4762500e-03,5.2000,49.794
-3.4737500e-03,11.3456,49.828
-3.4712500e-03,-2.4832,49.810
-3.4687500e-03,-6.8768,49.772
-3.4662500e-03,9.6272,49.818
-3.4637500e-03,-1.9312,49.799
-3.4612500e-03,-1.3184,49.802
-3.4587500e-03,-2.2096,49.789
-3.4562500e-03,6.4336,49.798
-3.4537500e-03,-5.2752,49.775
-3.4512500e-03,6.9984,49.808
-3.4487500e-03,2.7344,49.818
-3.4462500e-03,-0.9072,49.789
-3.4437500e-03,-2.9856,49.791
-3.4412500e-03,7.8752,49.813
-3.4387500e-03,-7.9776,49.785
-3.4362500e-03,3.4416,49.804
-3.4337500e-03,1.5520,49.796
-3.4312500e-03,2.2320,49.801
-3.4287500e-03,-7.6000,49.776
-3.4262500e-03,18.5200,49.836
-3.4237500e-03,0.0928,49.812
-3.4212500e-03,-9.0432,49.763
-3.4187500e-03,3.2240,49.835
-3.4162500e-03,9.3808,49.834
-3.4137500e-03,-5.6400,49.770
-3.4112500e-03,-0.5200,49.805
-3.4087500e-03,1.2592,49.792
-3.4062500e-03,2.9152,49.819
-3.4037500e-03,1.1232,49.795
-3.4012500e-03,4.7296,49.798
-3.3987500e-03,-3.4064,49.779
-3.3962500e-03,-1.8768,49.775
-3.3937500e-03,4.8576,49.797
-3.3912500e-03,1.6912,49.805
-3.3887500e-03,-4.4976,49.772
-3.3862500e-03,1.5776,49.809
-3.3837500e-03,4.3488,49.809
-3.3812500e-03,-1.1232,49.804
-3.3787500e-03,0.9392,49.796
-3.3762500e-03,8.1008,49.838
-3.3737500e-03,-9.6384,49.771
-3.3712500e-03,7.3152,49.811
-3.3687500e-03,11.2576,49.836
-3.3662500e-03,-6.1872,49.801
-3.3637500e-03,-1.7952,49.750
-3.3612500e-03,3.7392,49.805
-3.3587500e-03,3.4224,49.806
-3.3562500e-03,-5.6320,49.788
-3.3537500e-03,3.8336,49.790
-3.3512500e-03,0.9200,49.801
-3.3487500e-03,1.4192,49.802
-3.3462500e-03,-0.1456,49.827
-3.3437500e-03,2.9712,49.814
-3.3412500e-03,-1.1504,49.797
-3.3387500e-03,4.8688,49.793
-3.3362500e-03,-5.5760,49.798
-3.3337500e-03,1.2032,49.789
-3.3312500e-03,1.6960,49.801
-3.3287500e-03,3.3792,49.797
-3.3262500e-03,-8.7504,49.782
-3.3237500e-03,8.6688,49.797
-3.3212500e-03,15.5856,49.841
-3.3187500e-03,-3.1952,49.799
-3.3162500e-03,-7.3440,49.767
-3.3137500e-03,9.2912,49.807
-3.3112500e-03,0.4768,49.801
-3.3087500e-03,-1.5792,49.789
-3.3062500e-03,-1.7664,49.786
-3.3037500e-03,3.1648,49.797
-3.3012500e-03,0.0656,49.787
-3.2987500e-03,5.0976,49.806
-3.2962500e-03,0.8336,49.793
-3.2937500e-03,-4.0416,49.804
-3.2912500e-03,1.9648,49.798
-3.2887500e-03,6.4992,49.834
-3.2862500e-03,-6.9216,49.786
-3.2837500e-03,-0.0336,49.805
-3.2812500e-03,6.3808,49.793
-3.2787500e-03,0.4880,49.811
-3.2762500e-03,-2.9136,49.780
-3.2737500e-03,5.5872,49.817
-3.2712500e-03,2.8704,49.808
-3.2687500e-03,-4.4784,49.792
-3.2662500e-03,1.5984,49.791
-3.2637500e-03,1.4528,49.822
-3.2612500e-03,-2.9872,49.783
-3.2587500e-03,3.3264,49.802
-3.2562500e-03,2.3648,49.795
-3.2537500e-03,-2.8272,49.776
-3.2512500e-03,1.8096,49.780
-3.2487500e-03,13.7808,49.836
-3.2462500e-03,-10.4432,49.766
-3.2437500e-03,-1.1968,49.785
-3.2412500e-03,11.5472,49.828
-3.2387500e-03,2.4224,49.806
-3.2362500e-03,-6.2480,49.780
-3.2337500e-03,0.5888,49.807
-3.2312500e-03,2.9856,49.801
-3.2287500e-03,1.3136,49.793
-3.2262500e-03,0.2512,49.787
-3.2237500e-03,0.7280,49.808
-3.2212500e-03,-1.4480,49.788
-3.2187500e-03,4.7936,49.790
-3.2162500e-03,0.9776,49.794
-3.2137500e-03,-1.8208,49.805
-3.2112500e-03,0.8272,49.799
-3.2087500e-03,2.5376,49.816
-3.2062500e-03,-0.6208,49.785
-3.2037500e-03,-0.9680,49.798
-3.2012500e-03,1.2560,49.812
-3.1987500e-03,0.9024,49.811
-3.1962500e-03,-0.2240,49.785
-3.1937500e-03,6.4320,49.814
-3.1912500e-03,-0.7584,49.800
-3.1887500e-03,-1.8992,49.782
-3.1862500e-03,5.2128,49.792
-3.1837500e-03,-1.9120,49.786
-3.1812500e-03,-2.6784,49.793
-3.1787500e-03,1.8048,49.795
-3.1762500e-03,4.2752,49.803
-3.1737500e-03,-9.1360,49.776
-3.1712500e-03,9.1024,49.812
-3.1687500e-03,12.8992,49.831
-3.1662500e-03,-6.1744,49.799
-3.1637500e-03,-5.0272,49.776
-3.1612500e-03,8.8672,49.818
-3.1587500e-03,-2.6832,49.809
-3.1562500e-03,-0.5984,49.788
-3.1537500e-03,0.3200,49.788
-3.1512500e-03,2.6128,49.805
-3.1487500e-03,-4.5040,49.799
-3.1462500e-03,11.5376,49.811
-3.1437500e-03,2.8400,49.806
-3.1412500e-03,-6.6752,49.782
-3.1387500e-03,-0.9136,49.774
-3.1362500e-03,9.8016,49.825
-3.1337500e-03,-5.5392,49.777
-3.1312500e-03,0.0368,49.793
-3.1287500e-03,-0.0080,49.794
-3.1262500e-03,4.4672,49.806
-3.1237500e-03,-1.1536,49.786
-3.1212500e-03,13.2368,49.850
-3.1187500e-03,-10.1184,49.796
-3.1162500e-03,-2.0416,49.772
-3.1137500e-03,8.7024,49.806
-3.1112500e-03,3.9328,49.831
-3.1087500e-03,-8.8288,49.771
-3.1062500e-03,4.0080,49.802
-3.1037500e-03,3.9872,49.800
-3.1012500e-03,1.0224,49.788
-3.0987500e-03,-2.8032,49.792
-3.0962500e-03,6.2016,49.825
-3.0937500e-03,-2.0176,49.775
-3.0912500e-03,-0.2672,49.786
-3.0887500e-03,1.4960,49.800
-3.0862500e-03,0.8784,49.799
-3.0837500e-03,-0.7360,49.784
-3.0812500e-03,1.3760,49.828
-3.0787500e-03,-0.2656,49.794
-3.0762500e-03,-0.8864,49.788
-3.0737500e-03,4.1872,49.809
