# source=omni.marble.coaster Kit extension (PhysX + PINN)
# charge_voltage_V=300.0
# capacitance_uF=470.0
# num_turns=30
# chi_eff=3.0
# inductance_uH=12.4061
# R_total_ohm=0.11021
# stored_energy_J=21.15
# rlc_regime=underdamped
# pinn_checkpoint=pinn_best.pt
# pinn_step=250000
# pinn_derived_b=True
# approach_velocity_mm_s=208.33
# exit_velocity_mm_s=937.5
# boost_ratio=4.5
# gate_vel_in_1_t_s=0.194
# gate_vel_in_2_t_s=0.29
# gate_entry_t_s=0.386
# gate_cutoff_t_s=0.418
# gate_vel_out_1_t_s=0.482
# gate_vel_out_2_t_s=0.546
t_s,x_mm,y_mm,z_mm,z_along_mm,r_mm,vx_mm_s,vy_mm_s,vz_mm_s,vel_axial_mm_s,current_A,V_cap_V,F_z_mN,F_r_mN,Bz_T,wire_temp_C,triggered,pulse_cut
0.522,-0.0384,164.8181,3.5557,105.3946,1.4894,-0.4822,650.3893,-0.0091,650.3893,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.524,-0.0384,164.8181,3.5557,105.3946,1.4894,-0.4822,650.3893,-0.0091,650.3893,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.526,-0.0384,164.8181,3.5557,105.3946,1.4894,-0.4822,650.3893,-0.0091,650.3893,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.528,-0.0384,164.8181,3.5557,105.3946,1.4894,-0.4822,650.3893,-0.0091,650.3893,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.53,-0.0384,164.8181,3.5557,105.3946,1.4894,-0.4822,650.3893,-0.0091,650.3893,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.532,-0.0384,164.8181,3.5557,105.3946,1.4894,-0.4822,650.3893,-0.0091,650.3893,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.534,-0.0384,164.8181,3.5557,105.3946,1.4894,-0.4822,650.3893,-0.0091,650.3893,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.536,-0.0384,164.8181,3.5557,105.3946,1.4894,-0.4822,650.3893,-0.0091,650.3893,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.538,-0.0384,164.8181,3.5557,105.3946,1.4894,-0.4822,650.3893,-0.0091,650.3893,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.54,-0.0384,164.8181,3.5557,105.3946,1.4894,-0.4822,650.3893,-0.0091,650.3893,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.542,-0.0384,164.8181,3.5557,105.3946,1.4894,-0.4822,650.3893,-0.0091,650.3893,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.544,-0.0384,164.8181,3.5557,105.3946,1.4894,-0.4822,650.3893,-0.0091,650.3893,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.546,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.548,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.55,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.552,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.554,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.556,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.558,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.56,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.562,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.564,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.566,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.568,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.57,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.572,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.574,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.576,-0.0598,183.0152,3.5553,123.5917,1.4952,-0.0074,508.3618,-0.0001,508.3618,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.578,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.58,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.582,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.584,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.586,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.588,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.59,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.592,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.594,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.596,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.598,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.6,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.602,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.604,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.606,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.608,-0.0662,199.0436,3.5552,139.6201,1.497,-0.0447,499.4338,-0.0008,499.4338,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.61,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.612,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.614,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.616,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.618,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.62,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.622,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.624,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.626,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.628,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.63,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.632,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.634,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.636,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.638,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.64,-0.0645,214.4884,5.4568,155.0649,0.6006,0.0057,457.5794,101.4426,457.5794,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.642,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.644,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.646,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.648,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.65,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.652,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.654,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.656,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.658,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.66,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.662,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.664,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.666,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.668,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.67,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.672,-0.0689,227.0829,10.5299,167.6594,5.5439,0.2244,337.9094,175.8842,337.9094,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.674,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.676,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.678,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.68,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.682,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.684,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.686,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.688,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.69,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.692,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.694,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.696,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.698,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.7,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.702,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.704,-0.0631,235.4842,16.1548,176.0607,11.1615,-0.0317,202.1245,155.0953,202.1245,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.706,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.708,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.71,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.712,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.714,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.716,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.718,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.72,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.722,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.724,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.726,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.728,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.73,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.732,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.734,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.736,-0.0645,239.6779,19.8791,180.2544,14.8842,0.3749,76.86,70.439,76.86,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.738,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.74,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.742,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.744,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.746,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.748,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.75,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.752,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.754,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.756,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.758,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.76,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.762,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.764,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.766,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.768,-0.0676,240.0844,20.2824,180.6609,15.2875,-0.1291,-40.2093,-43.8636,-40.2093,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.77,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.772,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.774,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.776,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.778,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.78,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.782,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.784,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.786,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.788,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.79,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.792,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.794,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.796,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.798,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.8,-0.0655,236.7659,17.2108,177.3424,12.217,0.3819,-156.5588,-143.4486,-156.5588,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.802,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.804,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.806,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.808,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.81,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.812,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.814,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.816,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.818,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.82,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.822,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.824,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.826,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.828,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.83,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.832,-0.0616,229.3989,11.8727,169.9754,6.8836,-0.2017,-290.1078,-184.822,-290.1078,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.834,-0.0647,217.9058,6.5231,158.4823,1.5723,0.3915,-416.8957,-131.4394,-416.8957,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.836,-0.0647,217.9058,6.5231,158.4823,1.5723,0.3915,-416.8957,-131.4394,-416.8957,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.838,-0.0647,217.9058,6.5231,158.4823,1.5723,0.3915,-416.8957,-131.4394,-416.8957,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.84,-0.0647,217.9058,6.5231,158.4823,1.5723,0.3915,-416.8957,-131.4394,-416.8957,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.842,-0.0647,217.9058,6.5231,158.4823,1.5723,0.3915,-416.8957,-131.4394,-416.8957,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.844,-0.0647,217.9058,6.5231,158.4823,1.5723,0.3915,-416.8957,-131.4394,-416.8957,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.846,-0.0647,217.9058,6.5231,158.4823,1.5723,0.3915,-416.8957,-131.4394,-416.8957,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.848,-0.0647,217.9058,6.5231,158.4823,1.5723,0.3915,-416.8957,-131.4394,-416.8957,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.85,-0.0647,217.9058,6.5231,158.4823,1.5723,0.3915,-416.8957,-131.4394,-416.8957,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.852,-0.0647,217.9058,6.5231,158.4823,1.5723,0.3915,-416.8957,-131.4394,-416.8957,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.854,-0.0647,217.9058,6.5231,158.4823,1.5723,0.3915,-416.8957,-131.4394,-416.8957,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
0.856,-0.0647,217.9058,6.5231,158.4823,1.5723,0.3915,-416.8957,-131.4394,-416.8957,0.0,-0.0,0.0,0.0,0.0,24.662,1,1
