Reference,Value,Footprint,LCSC
Q1,PT204-6B,LED_THT:LED_D3.0mm,C5133
Q2,PT204-6B,LED_THT:LED_D3.0mm,C5133
Q3,PT204-6B,LED_THT:LED_D3.0mm,C5133
Q4,PT204-6B,LED_THT:LED_D3.0mm,C5133
Q5,PT204-6B,LED_THT:LED_D3.0mm,C5133
Q6,PT204-6B,LED_THT:LED_D3.0mm,C5133
